#{"t_start": 1764699795.7504928, "env_id": "None"}
r,l,t
-16.02,199,1.317377
-15.94,203,1.487147
-15.88,206,1.655724
-15.98,201,1.854446
-15.88,206,2.033468
-15.88,206,2.196488
-15.88,206,2.409653
-16.02,199,2.595016
11.08,354,2.873552
-15.96,202,3.051631
23.18,359,3.410252
-16.02,199,3.608846
-15.94,203,3.798958
-15.98,201,3.976981
-15.88,206,4.16207
-3.92,204,4.32209
-15.88,206,4.499129
-15.94,203,4.690151
-16.02,199,49.904519
-16.04,198,50.272887
-15.84,208,50.660754
-2.64,268,51.125206
-15.9,205,52.22645
-16.06,197,52.623142
-3.96,202,53.036283
-15.96,202,53.395458
-16.04,198,53.728563
-15.88,206,54.135374
-15.92,204,54.501816
-16.04,198,54.829906
-15.92,204,55.10602
-15.96,202,55.331033
23.08,354,55.714679
-3.9,205,55.941371
11.04,352,56.274342
-15.94,203,56.46127
-15.88,206,56.640366
-15.94,203,89.534721
-15.9,205,89.701374
-16.08,196,89.856605
-15.96,202,90.025618
-16.04,198,90.195642
-15.9,205,90.373657
-15.98,201,90.521466
-15.96,202,90.707671
-15.96,202,90.88869
-3.86,207,91.393098
-16.02,199,91.578166
-15.92,204,91.749459
-16.08,196,91.896483
21.96,298,92.120028
-15.86,207,92.283056
-16.06,197,92.459569
-15.9,205,92.617111
-15.9,205,92.779422
-16.08,196,92.935928
9.86,293,128.72223
-15.9,205,128.873926
-16.0,200,129.016938
-16.06,197,129.151445
-15.9,205,129.292997
-15.98,201,129.453512
-15.98,201,129.603086
-15.88,206,129.762535
-15.98,201,129.915547
-15.92,204,130.066588
-16.06,197,130.239604
-15.96,202,130.412195
-15.9,205,130.562702
-16.02,199,131.039302
-15.86,207,131.198333
-15.92,204,131.383842
23.14,357,131.674656
-15.88,206,131.86503
-15.98,201,132.028044
-16.02,199,168.188905
11.26,363,168.487324
-15.92,204,168.668418
21.52,276,168.953248
-15.96,202,169.155278
-15.8,210,169.335297
-15.92,204,169.503387
-15.92,204,169.6672
-2.66,267,169.908673
-15.96,202,170.070173
48.96,448,170.540287
37.06,453,171.008506
-15.98,201,171.17171
-15.92,204,171.35672
-16.02,199,171.827863
-3.86,207,172.057415
-15.7,215,172.256435
9.38,269,206.529139
-16.04,198,206.925253
23.34,367,207.542605
-16.0,200,207.892221
-16.02,199,208.247686
-15.88,206,208.616724
-15.94,203,208.97344
-16.0,200,209.297171
-16.0,200,209.648783
-16.04,198,209.975253
-15.98,201,210.302363
-15.98,201,210.660799
10.06,303,211.173682
-2.04,298,211.691397
-16.02,199,212.046588
-15.92,204,212.407887
-16.06,197,212.777946
-2.66,267,213.27649
-16.02,199,258.669205
-15.8,210,259.03034
-16.14,193,260.955778
-15.8,210,261.329256
-16.08,196,261.678143
-3.92,204,262.023603
-15.96,202,262.357511
-16.0,200,262.682065
-2.8,260,263.110383
-15.88,206,263.445043
-15.88,206,263.78273
-16.02,199,264.124224
-15.9,205,264.477765
-3.84,208,264.837784
-3.74,213,265.20724
-15.98,201,265.565501
-15.84,208,265.919306
-15.84,208,266.162901
-15.98,201,266.417289
-3.76,212,309.629564
-15.92,204,309.83884
-16.0,200,310.006037
24.36,418,310.358657
-2.68,266,310.604911
-16.06,197,310.73869
9.7,285,311.888883
-16.06,197,312.084038
-15.72,214,312.264261
-15.84,208,312.525309
35.38,369,312.869328
-15.84,208,313.077425
-15.8,210,313.295557
-16.06,197,313.487466
-15.96,202,313.696921
-16.04,198,313.865812
-16.0,200,314.075835
-2.12,294,349.50868
-16.1,195,349.648191
9.92,296,349.890554
-16.08,196,350.076565
9.94,297,350.301591
-15.92,204,350.472606
-15.9,205,350.652148
-15.92,204,350.824163
-15.9,205,351.023177
-16.02,199,351.188684
