#{"t_start": 1764699795.7564971, "env_id": "None"}
r,l,t
-15.96,202,1.314375
-16.02,199,1.480143
-15.98,201,1.644722
-15.94,203,1.842442
-15.94,203,2.021464
-15.9,205,2.182977
23.46,373,2.558013
-16.02,199,2.712035
-16.0,200,2.870546
-15.78,211,3.059629
-16.04,198,3.242341
-16.0,200,3.459754
-15.92,204,3.663351
-16.02,199,3.843461
-15.92,204,4.022555
-15.92,204,4.199065
-15.84,208,4.365088
-16.0,200,4.541636
-15.98,201,4.732384
-16.0,200,49.987671
-16.0,200,50.385955
-15.94,203,50.744261
22.0,300,51.257252
-16.0,200,52.359477
-15.98,201,52.799227
-15.88,206,53.17652
-15.86,207,53.546277
-15.92,204,53.903597
-15.94,203,54.287394
-15.86,207,54.654835
-15.96,202,54.965922
-15.9,205,55.225981
-16.14,193,55.419058
-15.92,204,55.63017
-16.12,194,55.870363
-15.98,201,56.048382
-3.9,205,56.253337
-15.88,206,56.445265
-15.94,203,56.623359
-15.88,206,89.519717
-15.92,204,89.684883
-15.84,208,89.849601
-15.88,206,90.021613
-16.06,197,90.190637
-15.84,208,90.370652
-15.96,202,90.520462
-2.16,292,90.78917
-16.14,193,91.289579
-15.84,208,91.456096
9.24,262,91.704454
-16.04,198,91.851974
-15.92,204,92.005512
-3.88,206,92.159026
-15.92,204,92.327052
-15.9,205,92.500598
-16.04,198,92.651111
-15.82,209,92.820418
-15.96,202,92.976433
-16.02,199,128.698225
-15.74,213,128.854921
-15.98,201,128.997934
-15.88,206,129.14044
-15.98,201,129.279473
-15.92,204,129.4405
-15.74,213,129.599082
-2.66,267,129.801038
-15.82,209,129.958542
24.26,413,130.311678
-3.92,204,130.46619
-15.86,207,130.623206
-16.02,199,131.104821
-16.04,198,131.257328
-16.04,198,131.432343
-2.76,262,131.651649
-16.02,199,131.827025
-16.28,186,131.99004
10.04,302,168.229412
-16.04,198,168.400428
-15.94,203,168.562831
-16.1,195,168.761924
-2.58,271,169.025756
-2.96,252,169.255782
-16.02,199,169.440381
-15.94,203,169.584682
-15.94,203,169.77771
-3.88,206,169.945661
36.7,435,170.336509
-15.96,202,170.586288
-15.92,204,170.802839
-15.86,207,171.005502
10.96,348,171.309715
-15.96,202,171.454227
23.26,363,172.153923
-3.9,205,206.198008
-15.86,207,206.592135
-16.0,200,206.980252
-2.54,273,207.440538
60.9,445,208.21868
9.62,281,208.724687
25.38,469,209.512754
-2.8,260,209.954248
-15.96,202,210.282366
-15.78,211,210.658796
-2.72,264,211.107535
-15.92,204,211.460018
-16.04,198,211.801539
-16.02,199,212.161885
-3.9,205,212.527907
-16.08,196,212.891383
-16.0,200,213.270486
-16.0,200,258.665201
-15.98,201,259.010335
-2.62,269,261.065623
-2.88,256,261.525842
-15.84,208,261.883836
-15.92,204,262.226491
-15.9,205,262.559885
-15.9,205,262.899287
-16.0,200,263.224807
-15.9,205,263.558649
-3.92,204,263.898965
-16.12,194,264.226366
-15.94,203,264.583789
-2.66,267,265.042061
-15.84,208,265.41027
-16.12,194,265.758785
-16.18,191,266.036815
37.24,462,266.705989
-15.94,203,309.745256
37.32,466,310.157286
9.56,278,310.394711
-16.06,197,310.589398
-15.68,216,310.739193
-15.9,205,311.806633
-2.72,264,312.076034
-16.0,200,312.243178
-15.88,206,312.497281
-15.78,211,312.702686
-16.12,194,312.878858
-15.84,208,313.087928
-15.88,206,313.306554
-16.1,195,313.49146
-2.64,268,313.75664
-16.08,196,313.925319
-15.88,206,314.128978
9.5,275,349.548676
36.3,415,349.868547
-15.98,201,350.064561
-16.02,199,350.221584
9.64,282,350.445598
-2.76,262,350.667144
-15.92,204,350.850162
-2.44,278,351.113677
-2.76,262,351.312691
10.46,323,352.51981
-15.88,206,352.678323
87.98,599,353.149968
-15.72,214,353.322986
-15.94,203,353.508003
-15.72,214,353.693601
-16.04,198,385.155261
-16.06,197,385.299799
21.92,296,385.582327
22.74,337,385.894277
-3.8,210,386.059909
62.44,522,386.446983
-15.9,205,386.589489
-15.98,201,386.747019
-16.04,198,386.883551
-15.88,206,387.040318
-15.94,203,387.218298
-15.98,201,387.35881
-15.78,211,387.538405
11.06,353,390.507514
48.66,433,390.898124
-15.96,202,391.059663
-16.04,198,422.62162
-15.78,211,422.768642
-15.86,207,422.919605
-16.08,196,423.076538
-16.04,198,423.216138
-16.04,198,423.381157
-16.04,198,423.542272
-15.98,201,423.683995
23.42,371,423.947555
-15.78,211,424.124791
-15.9,205,424.306484
48.3,415,424.676967
-1.94,303,424.9425
-15.98,201,425.137275
63.48,574,425.628029
-2.54,273,427.170938
-2.58,271,458.98491
9.48,274,459.177927
-15.82,209,459.351945
-15.72,214,459.539479
-15.84,208,459.726064
-15.9,205,459.880566
9.94,297,460.132104
-15.98,201,460.310644
61.46,473,460.709712
-16.0,200,460.858231
-3.88,206,461.050802
-15.92,204,461.24885
-15.98,201,461.40836
62.22,511,461.806446
35.34,367,462.100539
76.32,616,494.127212
9.96,298,494.390255
-3.48,226,512.743704
-3.72,214,512.944719
77.54,677,513.542031
23.22,361,513.890129
112.06,603,514.426641
48.28,414,514.787694
24.3,415,515.129522
76.16,608,546.874992
-15.98,201,547.025502
-3.8,210,547.174157
-16.0,200,547.327666
-3.76,212,547.512683
36.6,430,547.874766
-16.0,200,548.019277
-15.94,203,566.430526
88.7,635,566.968058
-15.82,209,567.137635
11.06,353,567.461695
-3.74,213,567.668709
-15.7,215,567.892736
-16.06,197,568.089448
52.0,600,600.747029
-15.92,204,600.906126
-15.74,213,601.087713
-2.76,262,601.304729
-15.78,211,601.491355
23.34,367,601.779999
36.6,430,602.120125
74.48,524,602.543797
23.58,379,620.847891
-16.06,197,620.993922
-16.0,200,621.167433
-15.92,204,621.333009
-15.92,204,621.502098
35.52,376,621.809621
49.26,463,654.229724
77.86,693,654.855038
-15.98,201,655.019273
35.08,354,655.34144
-15.86,207,655.534458
22.04,302,655.801627
9.32,266,656.015686
-15.94,203,656.170194
-15.92,204,656.338207
9.42,271,656.539754
22.16,308,656.806519
-15.9,205,674.759007
-3.76,212,674.957542
-15.74,213,675.135555
-16.02,199,706.922488
139.9,795,707.621534
-15.98,201,707.785126
9.94,297,708.078414
100.56,628,708.59465
49.22,461,709.020925
9.5,275,709.272088
-15.76,212,709.443163
-15.92,204,709.611185
-15.94,203,709.798216
23.06,353,710.101115
156.66,1033,763.709283
100.7,635,764.261964
-16.02,199,764.444378
37.04,452,764.819813
113.7,685,765.431599
-16.04,198,765.642388
164.78,839,766.470541
192.56,1028,799.74458
166.36,918,818.787084
62.1,505,819.22336
48.54,427,819.632229
74.86,543,820.123796
-15.96,202,820.346826
-15.8,210,820.510921
-15.76,212,820.702453
-15.8,210,820.90201
62.84,542,853.546449
10.32,316,853.816427
256.86,1243,854.889358
126.18,709,873.492539
479.44,2172,908.096751
139.44,772,908.843904
283.32,1366,910.218824
299.94,1597,962.853381
50.58,529,963.392268
22.98,349,963.719799
402.02,1901,965.403507
411.36,1768,1018.135972
193.78,1089,1019.181438
62.84,542,1019.670282
75.88,594,1020.214678
-15.94,203,1020.397699
50.74,537,1020.902833
503.74,2187,1073.130288
140.92,846,1073.914397
508.22,2411,1108.575152
208.56,1228,1127.980858
322.86,1543,1129.583604
220.54,1227,1163.578468
36.22,411,1163.973882
429.1,2055,1183.98648
587.22,2761,1218.757921
-2.18,291,1219.045058
154.66,933,1219.894168
151.38,769,1239.23859
77.8,690,1271.284869
36.14,407,1271.666868
23.52,376,1271.969869
-16.12,194,1272.123869
10.5,325,1272.391869
23.16,358,1272.746868
24.58,429,1273.166869
-15.84,208,1273.379869
36.9,445,1273.734869
-3.74,213,1273.884868
36.5,425,1274.184868
-2.54,273,1305.696049
37.24,462,1327.342625
-16.04,198,1327.485641
-15.88,206,1327.644299
-3.64,218,1327.824244
-16.0,200,1328.012266
48.56,428,1328.377311
64.42,621,1328.890098
25.3,465,1329.256127
-15.88,206,1329.411817
37.42,471,1329.785851
-2.5,275,1329.981289
23.36,368,1363.275977
