#{"t_start": 1764699795.7594957, "env_id": "None"}
r,l,t
-15.98,201,1.310377
-16.0,200,1.478144
-16.02,199,1.640721
10.98,349,1.967954
9.88,294,2.213128
-15.98,201,2.416158
-15.96,202,2.607015
-16.0,200,2.75304
-16.08,196,2.920057
-15.86,207,3.105647
-15.94,203,3.299736
-15.98,201,3.514842
-15.96,202,3.704355
-15.94,203,3.894464
-15.96,202,4.069557
-16.02,199,4.244572
11.26,363,4.545636
-2.92,254,4.794893
-15.9,205,50.098822
-16.04,198,50.496064
-15.92,204,50.860775
-15.98,201,51.195737
-15.98,201,52.295956
-15.92,204,52.73417
9.86,293,53.279945
-16.0,200,53.628029
-15.96,202,54.00285
-15.94,203,54.373298
-15.9,205,54.726389
-15.88,206,55.026927
-15.92,204,55.275028
-15.94,203,55.482135
-15.88,206,55.710677
-15.92,204,55.933368
-15.94,203,56.118385
-15.8,210,56.317337
-2.36,282,56.577775
-16.0,200,89.479718
-16.0,200,89.641243
-3.88,206,89.7876
-15.88,206,89.972615
-15.84,208,90.15213
-3.76,212,90.322146
-16.1,195,90.479463
-15.8,210,90.660586
-15.94,203,90.853178
-15.94,203,91.347587
-16.02,199,91.521603
-16.0,200,91.707455
-16.0,200,91.855975
-15.9,205,92.010513
-15.9,205,92.162533
75.28,564,92.625108
89.7,685,128.724227
-15.9,205,128.876923
-15.94,203,129.020936
-16.04,198,129.156441
-15.92,204,129.296993
-15.92,204,129.459502
-15.96,202,129.611084
-15.88,206,129.769533
-15.94,203,129.923544
-2.12,294,130.155094
-3.9,205,130.345679
-2.74,263,130.539698
9.98,299,131.094824
-15.9,205,131.251329
-16.06,197,131.426344
-15.96,202,131.595651
-15.94,203,131.773961
-16.08,196,131.950535
23.56,378,168.246413
-15.98,201,168.41932
-2.72,264,168.642415
-15.96,202,168.854738
-16.08,196,169.044757
-15.84,208,169.237783
-16.02,199,169.422381
-3.8,210,169.571681
-16.0,200,169.756709
-16.06,197,169.923662
-16.06,197,170.082174
-16.0,200,170.255129
-15.98,201,170.508284
