#{"t_start": 1764699795.7484922, "env_id": "None"}
r,l,t
275.78,1589,819.956776
228.94,1047,820.905015
-16.04,198,821.074526
60.82,441,853.639831
23.48,374,853.940943
191.5,975,854.790855
62.42,521,873.207499
23.32,366,873.558544
86.34,517,874.025848
194.02,1101,907.613511
9.72,286,907.891951
-15.74,213,908.107756
9.84,292,908.391284
206.16,1108,909.466421
229.32,1066,929.106717
9.32,266,929.373974
102.8,740,962.651792
399.24,1762,964.293784
74.3,515,964.746959
413.58,1879,1017.497672
62.28,514,1017.999801
10.06,303,1018.308311
139.98,799,1019.066932
99.7,585,1019.61378
35.46,373,1019.919648
182.3,1115,1020.974345
257.66,1283,1072.280707
137.7,685,1072.979487
256.88,1244,1074.169083
87.32,566,1074.68286
74.96,548,1075.27109
166.8,940,1108.480145
35.38,369,1108.842687
9.36,268,1109.105731
408.02,2201,1129.555103
23.32,366,1129.953997
179.54,977,1163.669849
35.8,390,1164.032396
153.16,858,1164.757813
-3.86,207,1164.944848
24.58,429,1183.476435
-3.7,215,1183.690958
402.76,1938,1217.66124
48.5,425,1218.064336
491.14,2157,1220.193841
-15.9,205,1238.925819
37.12,456,1270.846881
-15.94,203,1271.021877
23.34,367,1271.315873
207.34,1167,1272.316874
142.94,947,1273.230873
62.28,514,1273.667873
-2.22,289,1273.878877
-2.64,268,1274.067873
-15.84,208,1274.216873
9.96,298,1305.773054
-15.86,207,1327.205131
49.42,471,1327.545646
23.66,383,1327.858248
-15.98,201,1328.054271
10.66,333,1328.334388
-3.92,204,1328.493066
179.1,955,1329.274135
115.34,767,1329.872019
89.52,676,1363.379982
-2.24,288,1363.628982
-1.88,306,1363.851982
142.7,935,1384.10136
-3.78,211,1384.258867
50.84,542,1384.819618
23.46,373,1385.137105
103.06,753,1385.794482
36.98,449,1415.417626
-2.66,267,1415.622643
-3.86,207,1415.788989
103.76,788,1416.401645
-3.84,208,1416.549194
-15.84,208,1416.714249
49.18,459,1433.510826
-16.06,197,1433.692837
-15.92,204,1433.857943
50.78,539,1434.344804
74.7,535,1434.782538
-3.8,210,1434.92755
-16.1,195,1435.085057
-16.02,199,1464.031458
-15.82,209,1464.187992
-1.9,305,1464.433316
-2.46,277,1464.627833
23.66,383,1464.917392
151.82,791,1465.478945
-15.9,205,1465.650985
22.96,348,1465.938157
11.14,357,1483.102427
-15.84,208,1483.253444
-15.82,209,1483.402951
-16.0,200,1483.555374
9.96,298,1483.79256
91.12,756,1513.257483
-2.1,295,1513.502498
-16.04,198,1513.653527
75.9,595,1514.101781
52.12,606,1514.603349
-16.02,199,1514.802883
-16.12,194,1514.941391
9.7,285,1515.141414
23.04,352,1515.434021
-15.8,210,1515.589689
-15.92,204,1515.735205
-3.84,208,1516.501071
89.48,674,1545.556601
-15.9,205,1545.710613
-2.38,281,1545.925331
88.34,617,1546.369951
23.18,359,1546.655218
-3.8,210,1546.804751
-3.88,206,1546.977775
10.94,347,1547.2408
-15.94,203,1547.404327
-2.36,282,1547.622132
-15.7,215,1547.796928
-15.86,207,1547.954438
23.42,371,1548.27948
10.94,347,1577.153929
-16.0,200,1577.318949
-2.54,273,1592.130125
50.92,546,1592.583839
23.42,371,1592.903642
-15.96,202,1593.059293
23.32,366,1593.316948
-15.78,211,1593.459543
10.52,326,1593.762573
-2.72,264,1593.966618
-15.8,210,1594.125664
-16.1,195,1594.267958
-2.62,269,1594.455494
37.86,493,1623.835644
36.88,444,1624.206223
-2.62,269,1624.403827
-16.0,200,1624.547345
23.1,355,1624.814875
11.16,358,1641.568749
65.2,660,1642.10181
-15.66,217,1642.256317
11.16,358,1642.575279
62.8,540,1642.983316
76.44,622,1672.579947
-2.48,276,1672.769955
-16.08,196,1672.905996
22.8,340,1673.147141
64.0,600,1673.618182
-1.9,305,1673.839203
35.56,378,1674.119785
-16.04,198,1674.297293
113.84,692,1689.40927
10.88,344,1689.702445
-15.76,212,1689.878591
-15.9,205,1690.079286
-15.66,217,1690.23622
-16.1,195,1720.182559
-15.98,201,1720.320068
-16.06,197,1720.50111
-2.76,262,1720.69013
-15.9,205,1720.871054
-3.7,215,1721.022569
-15.82,209,1721.169587
9.54,277,1721.378093
-15.9,205,1721.532599
64.04,602,1721.991918
38.3,515,1722.3555
-15.92,204,1722.499021
23.34,367,1739.510966
74.84,542,1768.351141
-16.0,200,1768.499165
9.58,279,1768.740247
-16.08,196,1768.888304
-3.68,216,1769.065823
35.22,361,1769.322343
-2.7,265,1769.512409
-15.68,216,1769.664919
9.26,263,1769.85495
-16.06,197,1770.003968
-15.76,212,1770.168364
50.72,536,1770.541776
11.5,375,1770.828305
35.5,375,1771.140505
