#{"t_start": 1764699795.7534966, "env_id": "None"}
r,l,t
-16.0,200,1.315376
-15.98,201,1.483144
-15.96,202,1.648721
-15.98,201,1.844443
-15.92,204,2.024464
-15.9,205,2.185977
-15.96,202,2.393647
-15.9,205,2.586011
-15.86,207,2.74504
22.94,347,3.043627
-2.86,257,3.284732
-16.0,200,3.499754
-16.06,197,3.689351
-15.96,202,3.878462
-15.92,204,4.054556
-15.9,205,4.234572
-16.0,200,4.388087
-16.08,196,4.561636
-15.94,203,4.760888
-15.94,203,50.034684
-15.92,204,50.443063
-15.94,203,50.803262
-16.04,198,51.13822
9.94,297,52.416333
-15.92,204,52.856825
-15.94,203,53.225521
-15.88,206,53.590282
-15.98,201,53.952848
-16.1,195,54.314395
-15.96,202,54.66884
-15.94,203,54.981924
-15.98,201,55.236983
-15.92,204,55.444114
-15.9,205,55.655676
-16.0,200,55.900363
35.12,356,56.230288
-15.98,201,56.417756
35.1,355,89.464717
-15.8,210,89.625226
-15.94,203,89.776601
-16.02,199,89.957109
-2.96,252,90.168641
-16.0,200,90.329145
-15.9,205,90.493462
-15.96,202,90.667587
-15.92,204,90.861177
-3.9,205,91.358585
-15.98,201,91.535603
-15.96,202,91.720455
10.0,300,91.949985
-15.86,207,92.100025
-15.8,210,92.265052
-15.9,205,92.446562
-15.82,209,92.608113
-16.02,199,92.766418
-15.98,201,92.925925
-15.74,213,128.647718
-15.9,205,128.809416
-16.14,193,128.945426
-15.94,203,129.087442
-15.92,204,129.227952
-15.72,214,129.392501
-15.92,204,129.53602
-15.88,206,129.70453
-15.96,202,129.862036
-16.04,198,129.998061
-15.84,208,130.176097
-16.06,197,130.355678
-1.94,303,130.5767
-15.88,206,131.05981
-16.08,196,131.210329
-15.9,205,131.398343
-15.92,204,131.56414
-15.96,202,131.734957
-16.04,198,131.919534
-15.98,201,132.084043
-16.04,198,168.234412
-16.0,200,168.406428
-15.88,206,168.571832
-15.86,207,168.778925
-15.88,206,168.993248
-15.96,202,169.186273
-15.92,204,169.370294
21.28,364,169.650193
-3.64,218,169.856231
101.68,684,170.503283
-15.96,202,170.729319
-16.0,200,170.938993
-15.84,208,171.101196
-16.0,200,171.289211
-15.88,206,171.443225
23.22,361,172.138923
-16.0,200,206.168009
-15.96,202,206.533134
-15.84,208,206.94525
-16.16,192,207.261417
-2.02,299,207.778993
87.76,588,208.828043
-15.96,202,209.161919
-15.88,206,209.507755
-15.78,211,209.868263
-16.16,192,210.18084
-15.86,207,210.538272
-2.82,259,210.990297
-15.96,202,211.3212
23.1,355,211.955557
-15.94,203,212.318378
-16.08,196,212.681419
-15.96,202,213.057218
-16.0,200,258.456266
-3.78,211,258.832415
-15.76,212,260.779172
-15.9,205,261.13671
-2.68,266,261.621619
-3.84,208,261.9786
-15.94,203,262.314
-15.98,201,262.640337
-3.8,210,262.987329
-15.9,205,263.318314
-15.92,204,263.652719
-15.98,201,263.99209
-15.82,209,264.348556
-15.96,202,264.700675
-16.04,198,265.041057
-16.02,199,265.393261
-15.82,209,265.767786
-15.86,207,266.061327
-15.76,212,266.26978
-15.98,201,266.650964
-15.78,211,309.733234
-15.96,202,309.933673
76.12,606,310.453256
23.4,370,310.742194
-15.88,206,311.810634
-15.94,203,312.035985
-16.14,193,312.187625
-3.86,207,312.422919
-15.96,202,312.645331
24.14,407,313.016104
-3.84,208,313.242512
9.92,296,313.534464
-15.94,203,313.729918
-2.7,265,313.955325
-15.88,206,314.163978
-3.8,210,349.530676
-15.8,210,349.685186
-15.98,201,349.849306
-3.58,221,350.057561
-15.96,202,350.217584
-2.78,261,350.427599
-2.7,265,350.651144
-15.98,201,350.818159
-16.02,199,351.010173
-15.98,201,351.181678
-16.04,198,351.335691
-16.16,192,352.437286
-15.86,207,352.597815
-16.04,198,352.74483
-15.9,205,352.887525
-16.1,195,353.063692
-15.94,203,353.236477
-16.08,196,353.404497
-16.0,200,353.572003
115.18,759,385.518325
9.42,271,385.780764
89.36,668,386.311961
-3.86,207,386.458984
24.92,446,386.784019
-16.1,195,386.934806
-15.84,208,387.083318
9.86,293,387.319812
