#{"t_start": 1764699795.749492, "env_id": "None"}
r,l,t
-15.96,202,1.32138
-3.84,208,1.495148
37.88,494,1.945957
-15.84,208,2.112474
-16.02,199,2.288133
-16.0,200,2.496507
-16.0,200,2.659528
-15.98,201,2.815047
-15.96,202,2.998441
9.86,293,3.261736
-15.96,202,3.482759
-15.88,206,3.683355
-15.96,202,3.871468
-15.88,206,4.049561
-15.92,204,4.228578
-16.0,200,4.383091
-16.04,198,4.557642
-15.9,205,4.758894
-15.8,210,50.037682
-16.02,199,50.436963
-15.84,208,50.805265
-2.7,265,51.254255
-15.88,206,52.368483
-3.82,209,52.823234
-15.92,204,53.196524
-3.92,204,53.56029
50.08,504,54.481817
-16.0,200,54.815902
-15.88,206,55.093016
-2.64,268,55.393064
-15.7,215,55.610171
-3.88,206,55.865363
-15.92,204,56.050387
-15.92,204,56.250341
-15.96,202,56.440761
-15.9,205,56.623851
-2.9,255,89.553726
35.16,358,89.843604
-15.96,202,90.011619
-15.94,203,90.188647
-16.06,197,90.355153
-15.76,212,90.517468
-16.0,200,90.69667
-16.02,199,90.879688
23.32,366,91.517607
-2.72,264,91.754473
-15.96,202,91.909484
-15.84,208,92.063519
-15.92,204,92.219536
-16.04,198,92.395567
-2.7,265,92.602116
-15.88,206,92.767918
-15.92,204,92.928929
-15.84,208,128.646722
-15.84,208,128.81142
-15.96,202,128.954431
-15.9,205,129.096446
-15.96,202,129.235955
22.92,346,129.494022
-15.94,203,129.648087
-2.64,268,129.864044
-15.82,209,130.007576
11.1,355,130.320683
-16.02,199,130.471195
-15.96,202,130.62421
-15.9,205,131.109826
-15.88,206,131.272334
-16.06,197,131.443348
-2.8,260,131.660653
-16.06,197,131.83503
-2.72,264,132.067045
-15.94,203,168.221418
-16.02,199,168.392928
-16.02,199,168.551836
-3.84,208,168.76193
9.98,299,169.047761
-15.98,201,169.237786
-16.0,200,169.423384
10.02,301,169.651198
-15.94,203,169.847232
-16.14,193,170.004668
35.54,377,170.338516
-3.8,210,170.600292
-16.02,199,170.808844
-2.82,259,171.047507
-15.82,209,171.235214
-15.82,209,171.403722
9.8,290,172.000901
-15.98,201,172.207433
9.3,265,206.401943
-16.18,191,206.783143
63.62,581,207.787997
-2.48,276,208.281694
36.4,420,209.019955
-15.86,207,209.356707
-16.0,200,209.707784
-16.0,200,210.036375
-16.06,197,210.36053
-15.92,204,210.726305
-16.04,198,211.061546
-15.96,202,211.396728
24.3,415,212.140873
9.88,294,212.675424
-16.02,199,213.044222
-16.02,199,258.444244
-15.98,201,258.803419
-16.02,199,260.71366
-16.02,199,261.078628
-15.86,207,261.452766
-16.02,199,261.800477
-15.96,202,262.140976
-15.94,203,262.47276
-16.06,197,262.796592
-15.94,203,263.129637
21.86,293,263.606715
-15.68,216,263.967097
-16.06,197,264.301558
-15.8,210,264.670678
-15.92,204,265.021062
-3.82,209,265.390264
-16.04,198,265.745743
-16.0,200,266.040821
-16.04,198,266.244275
-15.92,204,266.587965
-15.92,204,309.698215
-16.0,200,309.899888
-15.92,204,310.062685
36.74,437,310.443756
-2.76,262,310.668624
-15.92,204,311.673721
9.52,276,311.990198
23.22,361,312.308814
-2.04,298,312.658845
-15.86,207,312.838801
-16.04,198,313.0359
-16.0,200,313.250516
-16.0,200,313.445956
-15.88,206,313.643974
-15.76,212,313.837812
23.48,374,314.186493
-3.88,206,349.550683
-15.98,201,349.703194
36.62,431,350.077565
-16.0,200,350.235588
-16.02,199,350.388097
-1.94,303,350.648149
-16.02,199,350.814164
62.58,529,351.286189
51.08,554,352.669329
-15.88,206,352.809344
23.22,361,353.109208
10.7,335,353.393994
-2.66,267,353.618353
23.3,365,385.219292
-1.96,302,385.491815
-16.0,200,385.668262
62.04,502,386.106918
-15.96,202,386.262965
-15.92,204,386.404482
-15.92,204,386.548495
-3.86,207,386.692004
-16.1,195,386.843557
-16.06,197,386.99481
35.58,379,387.296304
23.14,357,387.576408
-3.78,211,390.4425
49.3,465,390.823127
61.64,482,422.639131
-16.0,200,422.780646
-15.82,209,422.932033
-3.86,207,423.096544
-15.92,204,423.239647
-15.96,202,423.419165
-15.98,201,423.574282
11.5,375,423.839053
-15.92,204,423.98256
-16.0,200,424.164303
-15.86,207,424.344999
-2.84,258,424.564238
-16.0,200,424.750481
-2.88,256,424.975506
-15.76,212,425.191487
-15.76,212,425.362502
-15.94,203,425.516009
-15.88,206,425.702033
-16.04,198,427.184944
-15.98,201,458.947916
63.0,550,459.36295
74.44,522,459.810066
10.0,300,460.045593
-16.02,199,460.22514
-3.64,218,460.426182
-3.92,204,460.571695
21.98,299,460.828237
-15.96,202,460.990299
-15.9,205,461.215347
-15.96,202,461.375363
-15.98,201,461.522921
-3.78,211,461.695949
-15.9,205,461.855957
-15.9,205,462.012038
23.32,366,493.857784
-15.98,201,494.018193
36.06,403,494.359748
-3.84,208,512.6902
-3.58,221,512.883216
49.04,452,513.269979
-15.82,209,513.457516
60.7,435,513.891134
36.3,415,514.273118
-16.16,192,514.431646
36.8,440,514.812699
-15.94,203,514.972016
-3.86,207,515.151031
74.4,520,546.832963
-15.94,203,546.977507
9.28,264,547.172161
35.3,365,547.477689
-15.94,203,547.640777
-16.04,198,547.817845
-15.94,203,547.962282
-3.74,213,566.379904
62.38,519,566.832047
36.72,436,567.171651
-15.98,201,567.373669
-15.96,202,567.540701
23.34,367,567.918744
-15.94,203,568.120454
23.24,362,600.560012
-15.84,208,600.755034
-15.9,205,600.915131
48.9,445,601.290736
-15.82,209,601.47436
-15.76,212,601.642388
87.7,585,602.105123
-15.82,209,602.269643
216.92,1046,621.106436
-16.06,197,621.268448
-16.02,199,621.435085
165.44,872,654.180264
102.32,716,654.830042
116.38,819,655.564463
-15.94,203,655.753123
-15.78,211,655.926183
114.2,710,656.477248
88.16,608,674.764016
23.5,375,675.10256
154.5,925,707.534034
493.04,2252,709.50117
114.34,717,710.123626
-15.94,203,710.301134
9.94,297,744.590168
113.46,673,763.834794
63.4,570,764.353972
153.02,851,765.053028
99.78,589,765.646394
260.18,1409,799.358272
25.0,450,799.741584
130.2,910,818.778082
-15.86,207,818.960589
193.22,1061,819.949774
-15.88,206,820.103803
9.4,270,820.390352
48.74,437,820.761001
49.14,457,853.373784
36.96,448,853.746337
235.7,1385,854.931365
660.3,2815,908.08253
192.68,1034,909.083202
113.78,689,909.759542
300.28,1614,929.876506
37.62,481,962.905387
36.48,424,963.341498
231.56,1178,964.423295
116.78,839,965.187191
243.92,1196,966.280817
11.54,377,1017.682757
23.56,378,1018.028801
89.98,699,1018.681117
-15.98,201,1018.901135
179.24,962,1019.790308
36.64,432,1020.189683
192.74,1037,1021.184362
193.0,1050,1072.241653
396.06,1603,1073.822178
219.16,1158,1074.934555
90.92,746,1107.969845
165.64,882,1108.840688
63.38,569,1127.61534
464.8,2040,1129.690972
231.62,1181,1163.650849
-3.62,219,1163.836873
74.72,536,1164.313484
322.86,1543,1183.886975
115.26,763,1184.593088
337.1,1655,1218.324872
113.2,660,1218.977957
-3.56,222,1219.164122
307.02,1351,1239.033401
-15.96,202,1239.231088
23.82,391,1271.046873
38.22,511,1271.451874
-15.7,215,1271.679878
-15.96,202,1271.837874
101.52,676,1272.390873
-2.46,277,1272.646874
-15.9,205,1272.862874
-15.88,206,1273.063874
-3.88,206,1273.288873
23.6,380,1273.592874
11.46,373,1273.879876
210.8,1340,1327.46814
38.18,509,1327.86925
-1.9,305,1328.163369
23.36,368,1328.457558
-16.08,196,1328.647572
-15.92,204,1328.804597
-15.84,208,1328.958104
-15.76,212,1329.116192
167.86,993,1329.900547
-15.96,202,1330.038295
25.0,450,1363.392982
65.94,697,1363.935982
-2.6,270,1383.684197
64.14,607,1384.14736
-16.02,199,1384.298942
62.7,535,1384.851615
36.38,419,1385.203197
9.32,266,1385.487008
-16.0,200,1385.649019
50.78,539,1386.092963
-15.98,201,1415.497629
62.36,518,1415.905499
-15.68,216,1416.060124
128.9,845,1416.710249
10.72,336,1416.95431
89.92,696,1434.050274
77.68,684,1434.575818
-2.68,266,1434.81254
49.0,450,1463.950446
75.96,598,1464.412804
-15.76,212,1464.562823
-2.66,267,1464.767857
24.68,434,1465.080402
62.54,527,1465.450946
-15.98,201,1465.620476
-15.94,203,1465.773489
-16.08,196,1465.944662
101.42,671,1483.334949
-15.96,202,1483.481863
-16.04,198,1483.6339
11.28,364,1512.781809
-3.92,204,1512.932322
-16.02,199,1513.085944
-2.7,265,1513.334486
9.46,273,1513.545501
64.14,607,1514.013282
-15.94,203,1514.160291
-2.68,266,1514.380318
-15.96,202,1514.551348
-16.1,195,1514.736378
-16.06,197,1514.897389
51.62,581,1515.341998
-15.86,207,1515.499182
101.08,654,1516.608591
23.82,391,1545.445093
-15.96,202,1545.598106
-15.88,206,1545.741613
11.12,356,1546.008654
9.28,264,1546.205938
-16.04,198,1546.344444
-16.18,191,1546.505458
9.62,281,1546.715445
36.26,413,1547.029775
9.28,264,1547.2338
-16.02,199,1547.388327
38.16,508,1547.794928
-15.86,207,1547.951438
-3.72,214,1548.133465
-2.62,269,1576.985017
38.22,511,1577.375456
-2.62,269,1592.179632
77.48,674,1592.755626
90.56,728,1593.306949
24.92,446,1593.676571
23.56,378,1593.977611
