#{"t_start": 1764699795.7554963, "env_id": "None"}
r,l,t
-16.0,200,1.313376
-16.02,199,1.480143
-16.0,200,1.64372
-15.9,205,1.842444
-16.0,200,2.019464
-15.86,207,2.181979
-15.92,204,2.391647
-15.98,201,2.581011
-16.0,200,2.73504
-16.02,199,2.899551
-15.98,201,3.084647
-15.88,206,3.268733
23.06,353,3.635351
-15.92,204,3.822462
62.06,503,4.265572
-16.02,199,4.417595
-15.98,201,4.60864
-15.88,206,4.807894
-15.92,204,50.124628
-15.88,206,50.532066
-2.88,256,50.984311
-16.02,199,51.321249
-15.88,206,52.445624
-15.9,205,52.885536
-15.94,203,53.256031
-15.92,204,53.614297
-15.98,201,53.981849
-15.84,208,54.362422
-15.8,210,54.726389
-15.9,205,55.026926
-16.1,195,55.270027
-16.02,199,55.467133
-15.78,211,55.698676
-2.88,256,55.975874
-16.0,200,56.16375
-16.1,195,56.344754
-15.96,202,56.539774
-16.02,199,89.443209
-15.9,205,89.587226
23.08,354,89.882107
-15.84,208,90.05162
-15.98,201,90.220638
-2.7,265,90.447328
-15.96,202,90.621082
21.92,296,90.879683
-15.9,205,91.380095
-16.04,198,91.563126
-15.8,210,91.742456
-15.98,201,91.895479
-16.04,198,92.042514
-16.0,200,92.196532
-15.9,205,92.371566
-15.96,202,92.532599
-15.96,202,92.68962
-2.66,267,92.902925
-15.9,205,93.053435
-16.0,200,128.782742
-15.88,206,128.928427
-15.96,202,129.069939
9.4,270,129.255461
-15.8,210,129.420501
-16.0,200,129.569579
-15.9,205,129.728531
-16.0,200,129.882039
9.92,296,130.109093
-15.8,210,130.297609
-15.94,203,130.45119
23.34,367,131.054811
-2.76,262,131.262329
-15.88,206,131.441344
-15.92,204,131.616649
22.92,346,131.927535
-15.84,208,132.094549
-2.64,268,168.296415
-15.88,206,168.473322
-16.06,197,168.645411
-3.64,218,168.869734
-16.02,199,169.070757
-15.88,206,169.252785
-16.02,199,169.43738
-16.0,200,169.579681
-2.6,270,169.836226
-2.58,271,170.05117
-15.76,212,170.229128
-15.92,204,170.474025
23.26,363,170.869834
-15.9,205,171.049503
-15.78,211,171.23721
-15.98,201,171.400719
-16.06,197,171.894388
-15.9,205,172.106922
-15.98,201,206.14901
-2.7,265,206.627624
-2.6,270,207.119897
89.18,659,208.269684
-15.94,203,208.632016
-15.92,204,208.987442
-15.68,216,209.339703
-15.96,202,209.693787
-16.0,200,210.022371
-16.0,200,210.350525
-16.02,199,210.707799
-15.94,203,211.052541
9.4,270,211.516356
-16.06,197,211.859051
-16.02,199,212.218073
-16.08,196,212.57092
9.48,274,213.088219
-3.92,204,258.488268
-16.0,200,258.847417
-2.46,277,260.914772
36.0,400,261.624627
-16.12,194,261.956592
-15.96,202,262.292993
35.14,357,262.87728
-16.0,200,263.203808
-15.86,207,263.539557
-15.7,215,263.897965
38.04,502,264.762781
-15.98,201,265.1101
-15.82,209,265.482463
9.46,273,265.943307
-15.94,203,266.172573
-15.76,212,266.465798
-2.64,268,309.699715
-15.92,204,309.904389
-15.92,204,310.064684
-15.92,204,310.226445
-15.82,209,310.418729
-15.92,204,310.615417
-15.9,205,311.60316
-15.8,210,311.833338
23.08,354,312.167616
-16.06,197,312.382893
-15.88,206,312.624319
-15.92,204,312.793765
-15.96,202,312.989365
-3.82,209,313.206511
-16.02,199,313.40795
-15.8,210,313.607969
-15.88,206,313.801806
-15.82,209,314.020831
-15.94,203,314.185488
-16.04,198,349.542678
11.16,358,349.824205
-16.06,197,349.998559
-15.68,216,350.184072
-16.02,199,350.330093
-16.06,197,350.500108
-16.06,197,350.665145
-15.92,204,350.848163
-15.96,202,351.042174
-16.08,196,351.195681
-15.64,218,352.316778
-15.98,201,352.482286
23.08,354,352.74383
-15.92,204,352.887028
-15.94,203,353.068693
-16.1,195,353.235478
-15.82,209,353.413494
-15.98,201,353.581003
-15.98,201,353.76929
-15.94,203,385.215796
-15.98,201,385.39431
9.92,296,385.660258
-15.88,206,385.859273
-15.98,201,386.02391
36.32,416,386.338469
-16.08,196,386.476992
11.06,353,386.739019
-2.84,258,386.932806
22.04,302,387.17287
9.94,297,387.398812
-16.06,197,387.554404
-3.86,207,390.412986
-15.94,203,390.585022
-15.96,202,390.75304
-15.9,205,390.939155
-15.9,205,391.117174
48.98,449,422.83788
-15.9,205,422.992031
139.12,756,423.587273
-15.84,208,423.730513
9.9,295,423.942556
-15.84,208,424.117784
-16.0,200,424.293824
-16.12,194,424.465721
11.26,363,424.791477
-15.96,202,424.968501
-16.08,196,425.162964
-16.1,195,425.315992
-16.0,200,425.483005
49.28,464,458.78768
-15.94,203,458.959911
-15.92,204,459.104423
-15.9,205,459.25244
-3.82,209,459.434972
-16.06,197,459.619988
-16.04,198,459.778058
23.28,364,460.064589
23.32,366,460.403674
22.02,301,460.634199
-16.02,199,460.803725
-15.9,205,460.967296
-15.82,209,461.196342
-15.92,204,461.358359
-16.12,194,461.499867
88.3,615,461.984032
-16.08,196,462.144048
9.48,274,493.90478
11.0,350,494.191215
-15.98,201,494.369247
35.42,371,512.852211
48.92,446,513.230975
-15.9,205,513.417011
-15.96,202,513.619036
-16.04,198,513.814623
-15.98,201,513.983638
36.46,423,514.370625
-15.84,208,514.550675
-16.06,197,514.731694
-15.94,203,514.880205
-15.86,207,515.071519
117.84,892,547.029506
-15.74,213,547.180157
-2.04,298,547.426173
-15.94,203,547.582195
