#{"t_start": 1764699795.7514966, "env_id": "None"}
r,l,t
48.1,405,1.489143
9.9,295,1.747931
-15.98,201,1.940953
-15.98,201,2.102468
-16.02,199,2.274129
-16.02,199,2.485215
-16.0,200,2.649523
-15.94,203,2.806043
-15.88,206,2.992436
-16.0,200,3.175873
-16.12,194,3.364243
50.48,524,3.877462
-15.9,205,4.055556
-3.9,205,4.234572
-2.46,277,4.451595
-16.04,198,4.649146
-16.02,199,49.817209
10.94,347,50.468063
-15.88,206,50.835265
-15.8,210,51.186729
-15.98,201,52.285956
-15.98,201,52.713656
-15.98,201,53.100782
-15.86,207,53.469767
-16.02,199,53.801078
-15.94,203,54.202882
-16.06,197,54.558323
-16.02,199,54.887411
-15.92,204,55.147979
-15.94,203,55.362059
-15.84,208,55.570166
-16.0,200,55.80619
-15.98,201,56.017874
-16.0,200,56.210262
-16.0,200,56.393754
-16.0,200,56.575774
-3.92,204,89.482718
-16.0,200,89.639226
-15.88,206,89.7906
-16.2,190,89.964109
-15.94,203,90.138124
-15.96,202,90.302146
-3.82,209,90.469953
24.18,409,90.839173
-16.1,195,91.323578
-15.9,205,91.492603
-2.48,276,91.747456
-15.98,201,91.901479
-16.02,199,92.048514
-15.92,204,92.205532
-15.96,202,92.379564
-15.9,205,92.540598
-16.06,197,92.694619
-16.0,200,92.852421
-15.98,201,93.006434
-15.78,211,128.736229
-16.02,199,128.884922
-15.96,202,129.027936
-15.9,205,129.169441
-15.94,203,129.308992
-3.88,206,129.472514
-15.88,206,129.626082
-15.88,206,129.784532
11.18,359,130.056581
-15.74,213,130.2436
-15.94,203,130.41419
-15.84,208,130.566698
-16.0,200,131.045301
-15.78,211,131.207329
-15.8,210,131.398343
-16.02,199,131.560141
-15.96,202,131.727957
-15.92,204,131.919534
77.34,667,168.457319
-15.9,205,168.63735
-15.9,205,168.851735
-15.82,209,169.049756
-16.04,198,169.235781
23.4,370,169.5439
10.6,330,169.842224
-3.8,210,170.013169
-15.92,204,170.173056
-2.72,264,170.472023
-2.7,265,170.758317
-15.8,210,170.981991
-15.94,203,171.140702
-15.88,206,171.333715
-16.08,196,171.471226
-16.04,198,172.007411
-16.08,196,172.206433
-15.74,213,206.302903
-15.94,203,206.69963
-15.94,203,207.072385
-16.0,200,207.411451
50.34,517,208.322692
-15.9,205,208.687163
75.76,588,209.689779
-15.96,202,210.020865
-16.04,198,210.345525
-15.86,207,210.716799
23.28,364,211.3232
-15.88,206,211.692392
-2.78,261,212.159886
-15.98,201,212.5184
37.04,452,258.395244
-15.84,208,258.765414
-15.9,205,260.682656
-2.74,263,261.15886
-16.0,200,261.527843
-15.9,205,261.879734
-15.9,205,262.224484
-15.8,210,262.566389
-16.0,200,262.89828
-16.12,194,263.213807
-15.82,209,263.553564
-15.94,203,263.890796
-15.88,206,264.240367
-15.92,204,264.599791
-16.04,198,264.939557
62.54,527,265.867302
9.32,266,266.182572
-15.78,211,266.480799
-16.02,199,309.642574
-15.74,213,309.865356
-15.88,206,310.032163
-15.92,204,310.18941
-16.02,199,310.371686
9.98,299,310.641608
-15.8,210,311.642188
-15.96,202,311.87337
-16.04,198,312.07201
36.94,447,312.533346
-3.96,202,312.722701
-3.92,204,312.910386
-16.1,195,313.108928
11.02,351,313.467953
-2.76,262,313.723919
-16.02,199,313.904317
-16.02,199,314.10098
-15.98,201,314.277492
-16.14,193,349.60719
-16.02,199,349.772696
-15.94,203,349.946054
-16.18,191,350.10607
-16.04,198,350.260584
-15.82,209,350.434599
-16.0,200,350.58511
-16.02,199,350.765651
-15.96,202,350.944666
-15.78,211,351.151678
-2.52,274,351.358802
-15.98,201,352.476288
-15.96,202,352.625324
-15.72,214,352.78183
62.54,527,353.219477
11.14,357,353.523003
-15.86,207,353.704107
-15.94,203,385.168263
-15.82,209,385.332302
-3.94,203,385.518331
-15.92,204,385.702252
61.08,454,386.10091
-16.04,198,386.254959
-16.12,194,386.389477
-16.04,198,386.529491
-15.98,201,386.668997
-15.96,202,386.824553
-16.1,195,386.974806
-15.82,209,387.149871
-15.9,205,387.300298
-16.0,200,387.468889
-15.9,205,387.615407
102.5,725,390.933649
48.64,432,422.676126
-2.9,255,422.857883
-2.72,264,423.066549
-15.96,202,423.20813
-15.98,201,423.374158
-15.88,206,423.539268
-15.88,206,423.686993
-15.84,208,423.837048
-3.8,210,423.984556
-16.08,196,424.165299
-16.02,199,424.334994
24.4,420,424.716972
35.26,363,425.032089
-15.9,205,425.229485
-15.88,206,425.396503
-16.0,200,425.553514
-15.86,207,425.744538
-15.86,207,458.816197
-3.74,213,458.995911
-15.9,205,459.140927
-16.02,199,459.28844
-16.0,200,459.461972
194.46,1123,460.42918
-15.96,202,460.57269
-15.9,205,460.758719
-3.84,208,460.911245
-15.88,206,461.142833
-1.98,301,461.388358
48.26,413,461.70694
-15.88,206,461.867954
-15.9,205,462.03354
-3.84,208,493.754273
-15.98,201,493.89978
-15.88,206,494.063705
-15.82,209,494.242231
100.48,624,512.953721
9.94,297,513.194467
10.64,332,513.499512
22.94,347,513.839129
-2.52,274,514.082585
-16.08,196,514.275113
10.06,303,514.533167
10.96,348,514.825698
125.92,696,515.39263
-3.68,216,546.833959
-3.72,214,546.987502
23.32,366,547.252666
-3.86,207,547.435178
-15.88,206,547.594259
9.32,266,547.838261
61.64,482,566.450528
-3.74,213,566.634545
87.92,596,567.131571
50.36,518,567.590201
-15.98,201,567.811218
35.58,379,568.18874
10.14,307,600.573518
-15.92,204,600.765032
21.74,287,600.999205
88.22,611,601.515356
111.72,586,601.976017
126.72,736,602.567799
-2.86,257,620.776894
-15.94,203,620.932403
9.82,291,621.173433
-15.82,209,621.34301
35.32,366,621.640608
-15.84,208,621.814622
-16.04,198,653.983567
9.98,299,654.265716
23.34,367,654.619019
23.44,372,654.930767
205.16,1058,655.864146
-15.92,204,656.030689
75.36,568,656.474237
-15.84,208,656.659506
9.64,282,656.889521
298.14,1507,707.60003
151.04,752,708.257106
75.84,592,708.750281
-16.04,198,708.954414
60.7,435,709.33965
-15.98,201,709.512667
21.7,285,709.757215
62.92,546,710.233128
-3.78,211,710.396636
62.52,526,763.587256
-16.04,198,763.748284
86.06,503,764.182458
9.48,274,764.431362
-3.84,208,764.627395
49.5,475,764.996027
-15.84,208,765.179037
38.32,516,765.691897
345.62,1481,799.470189
11.18,359,799.773087
-1.96,302,800.011111
-15.9,205,800.190661
-3.6,220,818.666065
-15.74,213,818.832077
153.5,875,819.63423
151.02,751,820.354826
140.38,819,821.069522
74.46,523,853.696332
115.36,768,854.367451
-15.8,210,854.536484
-15.98,201,854.710341
9.88,294,854.97337
88.42,621,873.49554
74.8,540,873.984328
100.04,602,874.545394
75.98,599,907.661506
179.02,951,908.591377
63.7,585,909.176708
296.3,1415,929.150948
48.24,412,929.541029
193.96,1098,963.149479
50.18,509,963.657799
190.92,946,964.491795
-15.98,201,964.659209
242.26,1113,965.694648
-15.92,204,965.877414
218.36,1118,1017.973797
-2.72,264,1018.238233
205.1,1055,1019.25495
230.0,1100,1020.244681
139.38,769,1020.954341
602.24,2912,1073.867176
35.52,376,1074.217592
88.04,602,1074.783368
101.16,658,1107.745819
50.16,508,1108.244561
-2.72,264,1108.511151
63.54,577,1109.084726
90.44,722,1127.991372
78.86,743,1128.741347
271.62,1381,1163.039802
115.14,757,1163.705351
101.88,694,1164.31248
139.16,758,1164.969843
230.4,1120,1184.182568
192.14,1007,1217.262621
125.84,692,1217.931826
247.86,1393,1219.289626
-3.84,208,1219.472833
48.56,428,1219.870167
62.56,528,1238.957319
99.02,551,1270.967869
-15.9,205,1271.125869
-2.66,267,1271.347869
-2.76,262,1271.58187
-3.88,206,1271.763869
-15.96,202,1271.917869
23.18,359,1272.240869
76.26,613,1272.793869
-15.98,201,1272.965869
-15.96,202,1273.188869
21.98,299,1273.469872
49.22,461,1273.825869
9.54,277,1274.018869
23.4,370,1274.282869
11.2,360,1327.167615
50.58,529,1327.550642
24.24,412,1327.883752
140.66,833,1328.636567
36.36,418,1328.950098
9.76,288,1329.180387
-2.6,270,1329.390817
