#{"t_start": 1764699795.7574966, "env_id": "None"}
r,l,t
-15.96,202,1.313376
-3.82,209,1.487143
-15.96,202,1.65272
-15.92,204,1.861444
-15.92,204,2.030465
-16.0,200,2.189484
-15.96,202,2.398651
-15.96,202,2.587014
-2.04,298,2.813547
-15.94,203,2.999439
-16.0,200,3.185798
-16.02,199,3.388244
-16.0,200,3.58984
-15.98,201,3.778953
-16.0,200,3.947975
-15.96,202,4.126064
-15.9,205,4.300574
-15.98,201,4.465599
-16.0,200,4.661148
-15.96,202,49.855509
-15.98,201,50.215372
-16.0,200,50.598611
-15.98,201,50.956296
-15.9,205,51.302249
-15.9,205,52.422106
-15.98,201,52.856535
-15.9,205,53.229523
-15.88,206,53.594281
-15.88,206,53.967851
-15.98,201,54.334398
-15.96,202,54.687724
-15.96,202,54.996922
-15.98,201,55.246027
-15.9,205,55.452625
48.54,427,55.926365
-15.76,212,56.116382
-15.98,201,56.309336
-15.94,203,56.501264
-15.94,203,89.420209
-3.88,206,89.566225
-15.78,211,89.735095
-15.86,207,89.905106
-15.9,205,90.076124
-15.94,203,90.24764
37.1,455,90.636078
-16.04,198,90.821171
23.32,366,91.448096
-15.92,204,91.650871
-15.9,205,91.802972
-16.0,200,91.960501
-16.02,199,92.106024
-16.1,195,92.260048
-15.96,202,92.438563
-15.94,203,92.594111
-15.8,210,92.762419
-15.86,207,92.926924
-15.82,209,128.644718
-16.04,198,128.802415
-16.08,196,128.940426
47.3,365,129.193948
9.42,271,129.4005
35.12,356,129.667087
34.9,345,129.928544
-15.96,202,130.087096
-16.04,198,130.265603
-16.14,193,130.41719
-15.98,201,130.5657
-16.1,195,131.040301
-2.8,260,131.237329
-16.06,197,131.419343
63.16,558,131.904534
-2.22,289,132.14055
-15.78,211,168.296917
48.36,418,168.663414
-15.76,212,168.876735
-16.06,197,169.082763
9.5,275,169.326293
-2.84,258,169.534893
9.9,295,169.794711
-16.02,199,169.960662
9.28,264,170.179056
-2.58,271,170.483025
-15.84,208,170.720319
35.42,371,171.062507
-2.52,274,171.318716
-15.84,208,171.464227
-2.14,293,172.087415
-15.94,203,206.125008
-15.92,204,206.472029
-16.02,199,206.871218
-2.66,267,207.318447
-16.22,189,207.644696
-2.76,262,208.10656
-15.88,206,208.475578
-15.9,205,208.844131
-15.88,206,209.182919
-16.1,195,209.511755
-15.92,204,209.859271
-2.52,274,210.309381
-15.98,201,210.668796
-15.88,206,211.020533
-16.04,198,211.34572
23.1,355,211.980557
-2.08,296,212.510399
36.4,420,213.293486
-15.9,205,258.697907
-2.8,260,260.717653
-16.0,200,261.081615
-15.8,210,261.460843
-15.94,203,261.81548
23.28,364,262.420229
-16.04,198,262.744063
-16.06,197,263.066374
-15.82,209,263.407037
-2.44,278,263.865769
-2.44,278,264.340555
10.02,301,264.865841
-16.0,200,265.212237
-3.86,207,265.582497
38.06,503,266.249274
-15.8,210,266.63096
9.88,294,309.815327
-15.84,208,309.992023
-16.02,199,310.15178
-15.78,211,310.339144
-15.96,202,310.521816
-16.02,199,310.680136
-16.08,196,311.687751
-16.1,195,311.918621
11.18,359,312.237178
-16.06,197,312.48159
-15.98,201,312.68517
10.02,301,312.959696
-15.88,206,313.166003
10.08,304,313.47746
21.84,292,313.76265
24.42,421,314.152978
-15.88,206,349.517679
-2.78,261,349.722696
-16.08,196,349.868547
-15.86,207,350.068561
-3.9,205,350.229584
-16.0,200,350.383095
-15.98,201,350.547108
-15.7,215,350.737651
23.12,356,351.077172
-16.02,199,351.222193
-15.86,207,352.336779
-16.04,198,352.504812
-3.88,206,352.662324
-15.92,204,352.800339
-15.96,202,352.948183
-16.02,199,353.135969
-15.88,206,353.299986
-15.94,203,353.486496
-15.74,213,353.673599
48.84,442,385.323302
-16.0,200,385.508816
-15.94,203,385.69225
-16.06,197,385.885271
