#{"t_start": 1764699795.7534966, "env_id": "None"}
r,l,t
-3.74,213,1.325376
-15.96,202,1.494143
-16.04,198,1.65672
-15.76,212,1.878443
-15.82,209,2.044464
-16.02,199,2.206116
-16.0,200,2.410651
-15.96,202,2.603014
-16.12,194,2.747039
9.78,289,2.997438
-16.0,200,3.182799
-15.94,203,3.389242
-15.94,203,3.59284
-2.24,288,3.863463
-15.98,201,4.036556
-16.04,198,4.211066
-15.98,201,4.367086
-16.02,199,4.541635
-15.9,205,4.737385
-15.86,207,50.005664
-15.96,202,50.408955
-15.88,206,50.77226
-15.92,204,51.121202
-15.9,205,52.221449
-16.02,199,52.623138
-16.08,196,53.024278
-15.96,202,53.383456
-15.92,204,53.726567
-15.94,203,54.128368
-3.9,205,54.496812
-15.92,204,54.837903
-15.96,202,55.10652
-16.04,198,55.32703
-15.88,206,55.533134
10.0,300,55.889362
-15.94,203,56.066383
-15.94,203,56.271338
10.04,302,56.551774
-15.92,204,89.458216
-16.06,197,89.598225
-15.94,203,89.762095
-2.72,264,89.988615
-15.96,202,90.16364
-15.9,205,90.328145
-16.02,199,90.488462
-15.94,203,90.663585
-16.0,200,90.855178
-15.8,210,91.354586
-15.9,205,91.534602
-15.8,210,91.725455
-15.88,206,91.878479
-3.84,208,92.035516
-15.96,202,92.191532
-15.98,201,92.355053
-15.92,204,92.525598
-16.0,200,92.679618
-16.04,198,92.838419
-2.94,253,93.030434
-16.02,199,128.759227
35.72,386,129.031935
-16.1,195,129.165442
-15.82,209,129.309992
-16.0,200,129.468508
48.92,446,129.806039
-3.84,208,129.962543
-15.94,203,130.130094
-2.92,254,130.356678
-15.7,215,130.513697
-16.04,198,130.659205
-15.96,202,131.141822
-16.0,200,131.317837
-16.08,196,131.473349
-15.96,202,131.646648
-15.94,203,131.825026
-15.94,203,132.001041
-15.94,203,132.167549
-15.96,202,168.322919
-16.0,200,168.49133
-3.86,207,168.678416
23.32,366,169.046756
-16.04,198,169.232781
-15.92,204,169.422381
-2.64,268,169.612194
-15.8,210,169.825223
11.04,352,170.102174
-2.58,271,170.37251
-15.9,205,170.631793
-15.9,205,170.831837
-15.96,202,171.025502
-2.08,296,171.285209
35.16,358,171.903898
-16.02,199,172.112922
-15.9,205,206.159009
-15.96,202,206.513031
-16.02,199,206.912221
-15.96,202,207.245417
-3.88,206,207.599718
-15.8,210,207.96735
