#{"t_start": 1764699795.754496, "env_id": "None"}
r,l,t
-2.72,264,1.359376
-15.98,201,1.527208
-15.94,203,1.706722
-15.96,202,1.912445
-15.94,203,2.076465
11.22,361,2.410651
-15.78,211,2.611015
-15.96,202,2.75804
-15.96,202,2.934056
-15.84,208,3.116152
50.24,512,3.631351
-16.0,200,3.815462
-15.98,201,3.99354
-16.0,200,4.175065
-16.02,199,4.330087
-15.98,201,4.506129
-15.92,204,4.695147
-16.02,199,49.919509
49.16,458,50.771261
-15.94,203,51.118202
-15.96,202,52.213449
-15.98,201,52.617138
-15.98,201,53.029284
37.08,454,53.816075
-15.96,202,54.209882
-16.04,198,54.568325
-16.06,197,54.89541
-15.92,204,55.151979
-15.98,201,55.365059
-15.92,204,55.568167
-15.94,203,55.80919
-16.04,198,56.015874
-16.08,196,56.204264
-15.88,206,56.393756
-15.92,204,56.578775
-16.0,200,89.481718
-15.98,201,89.641225
-15.92,204,89.7886
-15.9,205,89.972614
-16.0,200,90.145125
-16.04,198,90.307146
-15.98,201,90.468953
-15.9,205,90.646078
-15.8,210,90.842174
23.18,359,91.463603
-16.04,198,91.663376
-15.94,203,91.809979
-2.8,260,92.009512
-15.9,205,92.16253
62.44,522,92.592111
23.16,358,92.868925
-15.9,205,93.027434
-15.92,204,128.761226
-15.84,208,128.906435
-15.88,206,129.051935
9.92,296,129.255461
-15.84,208,129.419502
-16.12,194,129.561072
-15.88,206,129.72353
-15.84,208,129.883039
-2.72,264,130.081589
-15.98,201,130.261601
-15.88,206,130.425193
-15.96,202,130.5747
-16.0,200,131.053811
-15.94,203,131.20933
-16.04,198,131.392344
-2.12,294,131.633649
-2.46,277,131.885534
-15.98,201,132.048043
-15.88,206,168.207414
-15.98,201,168.37992
9.9,295,168.62835
-15.94,203,168.840735
-15.94,203,169.031759
9.46,273,169.27679
-15.9,205,169.464381
-3.88,206,169.611194
-15.92,204,169.815256
-15.72,214,169.989665
-16.02,199,170.139459
-15.88,206,170.35751
-16.1,195,170.601788
-15.82,209,170.814838
-15.96,202,171.012502
-15.92,204,171.183701
-16.12,194,171.355717
-15.9,205,171.831861
-15.8,210,172.06341
-15.94,203,172.253432
23.32,366,206.72314
-3.74,213,207.107389
-15.88,206,207.458539
-15.9,205,207.813996
-15.88,206,208.177173
-15.9,205,208.544716
-15.92,204,208.908045
-15.92,204,209.241442
-15.98,201,209.584261
-16.06,197,209.917204
76.86,643,211.0143
-2.54,273,211.483018
-15.98,201,211.83205
-15.98,201,212.194072
-15.84,208,212.567908
-15.62,219,212.972827
-15.72,214,258.408245
-15.94,203,258.770415
-16.1,195,260.667653
-15.96,202,261.047106
-2.12,294,261.571878
-2.76,262,262.021592
-15.78,211,262.370527
-15.98,201,262.697061
-15.88,206,263.036213
-15.84,208,263.373855
10.02,301,263.87077
-16.02,199,264.209359
-2.74,263,264.668674
-15.96,202,265.014057
-16.1,195,265.359258
23.76,388,266.002816
11.08,354,266.436286
-15.92,204,309.629066
37.06,453,310.040671
-15.8,210,310.203922
-15.98,201,310.387206
-15.98,201,310.581889
-16.0,200,310.723182
-16.0,200,311.77183
-15.92,204,311.998721
23.4,370,312.333344
-2.56,272,312.65084
-15.86,207,312.828794
-15.98,201,313.029896
50.4,520,313.561463
-15.72,214,313.762646
-3.82,209,313.941323
-16.1,195,314.13898
-16.02,199,314.318002
62.24,512,349.904056
-15.9,205,350.087566
-2.6,270,350.293587
-15.96,202,350.4626
-15.94,203,350.638144
23.12,356,350.945666
-16.06,197,351.141679
-2.46,277,351.349694
-15.96,202,352.467287
-15.82,209,352.622324
-15.94,203,352.77083
-15.88,206,352.916183
-16.14,193,353.092698
-3.86,207,353.266478
22.96,348,353.564004
-15.76,212,353.763291
-15.94,203,385.210285
23.18,359,385.523326
-15.86,207,385.715766
-15.92,204,385.913285
-15.98,201,386.066911
