#{"t_start": 1764699795.7604961, "env_id": "None"}
r,l,t
-15.9,205,1.313376
-15.96,202,1.482143
-15.96,202,1.646722
-15.98,201,1.845444
-2.74,263,2.070465
23.16,358,2.402652
-15.78,211,2.603017
-15.88,206,2.75304
-15.98,201,2.928056
-15.92,204,3.107647
-16.04,198,3.296736
-16.0,200,3.51184
-15.88,206,3.704354
-3.84,208,3.898464
-15.86,207,4.078555
-15.94,203,4.254572
-15.96,202,4.409595
-15.98,201,4.595639
-15.92,204,4.798893
-15.98,201,50.101822
49.1,455,50.953296
9.76,288,52.189454
-15.92,204,52.595139
-15.94,203,53.013271
-15.96,202,53.372455
-2.72,264,53.82408
-15.98,201,54.213882
-15.96,202,54.578324
-16.0,200,54.90741
-15.94,203,55.159979
-15.92,204,55.378059
-15.94,203,55.577167
-15.88,206,55.821194
-16.02,199,56.022877
-16.1,195,56.214287
-15.98,201,56.401755
-15.94,203,56.581776
-15.78,211,89.490718
-15.9,205,89.655747
-15.84,208,89.804601
-15.78,211,89.991614
-2.92,254,90.205642
-3.86,207,90.390653
-16.04,198,90.541466
-16.0,200,90.714665
-15.88,206,91.245073
-15.94,203,91.400095
-16.0,200,91.59587
-15.88,206,91.756969
-1.98,301,91.986512
-16.0,200,92.136025
-15.92,204,92.303051
9.94,297,92.545601
-15.88,206,92.713099
-15.98,201,92.862925
-15.8,210,93.025434
-15.96,202,128.757226
-15.78,211,128.904428
10.98,349,129.148441
-15.96,202,129.286992
-15.98,201,129.447501
-3.84,208,129.603085
-3.82,209,129.763532
-15.9,205,129.919545
-15.74,213,130.088095
-15.9,205,130.273604
-15.94,203,130.427192
-2.72,264,130.625205
-15.94,203,131.109823
-16.0,200,131.272333
-2.08,296,131.525636
117.34,867,168.248413
-15.92,204,168.42332
-16.0,200,168.594344
-16.1,195,168.791443
-16.12,194,168.989249
-15.88,206,169.184282
-15.96,202,169.369294
-16.1,195,169.513892
-15.98,201,169.684199
9.26,263,169.913661
-16.12,194,170.06917
-15.94,203,170.242128
-16.0,200,170.48903
-15.92,204,170.720325
-15.88,206,170.935995
35.3,365,171.244211
-16.0,200,171.404233
9.98,299,172.022411
-15.94,203,172.219432
-15.94,203,206.325939
-2.94,253,206.829077
-15.86,207,207.181896
128.54,827,208.636024
-15.86,207,208.995948
9.2,260,209.421742
-15.9,205,209.778864
-15.9,205,210.113392
-16.0,200,210.451236
9.94,297,210.971305
-15.88,206,211.310195
-16.0,200,211.667392
-16.02,199,212.022586
-15.84,208,212.390883
-15.88,206,212.776943
11.16,358,258.470267
-15.9,205,258.836417
-3.92,204,260.768173
-16.02,199,261.11663
-15.84,208,261.497843
-15.98,201,261.845475
-15.86,207,262.192484
-15.96,202,262.519756
-15.98,201,262.85428
38.38,519,263.700226
-16.0,200,264.039093
23.36,368,264.674682
-15.78,211,265.038062
23.42,371,265.699739
-16.04,198,266.001816
-15.88,206,266.22127
-16.1,195,266.532799
-15.86,207,309.666696
-16.02,199,309.873374
-2.6,270,310.098726
-3.62,219,310.270697
-16.04,198,310.464282
24.36,418,311.643704
-15.92,204,311.874881
-16.14,193,312.068012
