#{"t_start": 1764699795.7574966, "env_id": "None"}
r,l,t
-15.96,202,1.313376
-15.96,202,1.482144
-16.02,199,1.644721
-16.02,199,1.837443
-15.98,201,2.016465
-15.94,203,2.175977
-15.9,205,2.385645
-15.9,205,2.579011
-16.02,199,2.73304
-15.9,205,2.901551
-15.94,203,3.087644
-15.94,203,3.273731
23.62,381,3.66935
-15.96,202,3.854462
-15.96,202,4.030557
-15.92,204,4.211569
-15.92,204,4.369087
-15.92,204,4.548635
-15.98,201,4.743891
-16.02,199,50.001664
-15.96,202,50.404955
-3.84,208,50.772262
11.14,357,51.38784
-15.92,204,52.516623
-15.96,202,52.945054
-15.94,203,53.311945
-15.92,204,53.663565
-15.78,211,54.066363
-16.0,200,54.422302
-16.04,198,54.758899
-15.9,205,55.05301
-15.96,202,55.290026
-16.0,200,55.497133
-15.8,210,55.736185
-15.9,205,55.951874
-15.92,204,56.143746
-16.08,196,56.325343
-15.94,203,56.52327
-15.9,205,89.433207
-15.98,201,89.576225
-15.98,201,89.738093
-3.7,215,89.914106
-15.9,205,90.091127
-16.02,199,90.25664
-15.96,202,90.431162
-16.0,200,90.603079
-16.14,193,90.761171
-16.02,199,91.276577
-15.94,203,91.438095
-15.98,201,91.630869
-15.82,209,91.790972
-3.74,213,91.959498
-1.96,302,92.187532
-15.96,202,92.353055
-15.98,201,92.519598
-16.04,198,92.672617
-15.82,209,92.839418
-15.96,202,92.994433
-15.92,204,128.719225
23.28,364,128.983934
10.02,301,129.192948
-16.04,198,129.328991
-15.84,208,129.49302
-3.96,202,129.647083
-15.98,201,129.80104
48.74,437,130.144094
36.22,411,130.486697
23.32,366,131.090823
-15.9,205,131.24233
-15.78,211,131.433345
-15.92,204,131.60465
-16.0,200,131.782464
-15.98,201,131.959535
62.4,520,168.385923
-16.02,199,168.543832
9.98,299,168.843735
-16.1,195,169.028759
23.06,353,169.363296
-16.06,197,169.512894
23.32,366,169.837225
-15.94,203,170.004261
9.98,299,170.247128
-15.98,201,170.49603
-2.78,261,170.781318
-15.86,207,170.990996
-15.98,201,171.153701
-15.96,202,171.337727
-16.08,196,171.797346
-15.96,202,172.022412
-15.94,203,172.219432
-15.88,206,206.330938
-2.84,258,206.842586
-16.04,198,207.179895
-15.9,205,207.52961
-15.96,202,207.881218
-15.94,203,208.245685
-15.84,208,208.616729
-16.0,200,208.968436
-15.98,201,209.294167
11.14,357,209.903211
-15.94,203,210.233358
11.3,365,210.87525
-15.9,205,211.212684
-15.9,205,211.572876
-16.02,199,211.924557
-16.02,199,212.280376
-15.88,206,212.660419
-15.78,211,213.054218
-15.98,201,258.454266
-2.6,270,258.93283
-2.7,265,260.980096
-15.96,202,261.341254
-15.98,201,261.697138
-15.96,202,262.038601
-15.92,204,262.376235
-16.06,197,262.695061
-16.0,200,263.025213
-15.9,205,263.357833
-16.02,199,263.682217
-15.94,203,264.027091
9.42,271,264.496761
37.0,450,265.27775
-15.86,207,265.646231
-15.88,206,265.974815
-15.92,204,266.197269
-2.86,257,266.609961
-15.86,207,309.710221
-15.94,203,309.91416
-3.9,205,310.075697
-15.96,202,310.231443
-16.02,199,310.415729
-15.9,205,310.613417
-16.1,195,311.59365
-16.1,195,311.802123
-16.16,192,312.01648
-16.08,196,312.175121
-15.96,202,312.400912
48.24,412,312.803773
37.18,459,313.275531
50.12,506,313.765301
74.84,542,314.267493
-15.82,209,349.610192
-15.9,205,349.7827
-2.92,254,349.996558
-15.9,205,350.16907
35.96,398,350.490602
-16.04,198,350.658144
-15.84,208,350.842159
-16.0,200,351.033173
-16.12,194,351.18768
-2.94,253,352.333778
-16.06,197,352.50181
9.36,268,352.699832
11.18,359,352.955185
-15.9,205,353.148969
-16.06,197,353.304986
24.48,424,353.685601
-16.12,194,385.138261
-15.9,205,385.293795
-16.02,199,385.48781
-15.8,210,385.674249
-16.02,199,385.864273
9.92,296,386.103913
-2.72,264,386.303962
-15.92,204,386.446984
-16.08,196,386.58249
-15.8,210,386.746019
-15.98,201,386.886552
-16.08,196,387.03532
23.12,356,387.321811
9.32,266,387.538403
-15.86,207,390.385982
24.14,407,390.738039
35.06,353,391.039664
-16.02,199,422.600617
-15.86,207,422.747639
-15.94,203,422.896518
-15.86,207,423.065539
