#{"t_start": 1764699795.7474923, "env_id": "None"}
r,l,t
-15.98,201,1.32238
-2.88,256,1.528212
-15.98,201,1.705728
-16.0,200,1.910451
-16.0,200,2.072469
-15.84,208,2.245132
9.8,290,2.530015
-16.02,199,2.697527
-15.96,202,2.859553
-15.98,201,3.036631
-15.98,201,3.221312
-15.94,203,3.439761
-15.9,205,3.636355
-16.0,200,3.821462
-15.98,201,3.998544
-16.02,199,4.179068
-3.94,203,4.338095
-15.84,208,4.52264
-15.96,202,4.707153
-15.92,204,49.944668
-15.92,204,50.337893
-15.94,203,50.705755
-15.92,204,51.062206
37.22,461,52.665659
-16.02,199,53.064788
-15.94,203,53.428464
-16.0,200,53.760079
-15.84,208,54.174884
-16.24,188,54.513816
-16.02,199,54.843907
-16.0,200,55.110021
-15.94,203,55.335033
-15.9,205,55.541139
-15.9,205,55.781192
-15.86,207,55.999878
-2.7,265,56.24834
-15.98,201,56.435761
-16.0,200,56.617848
-15.86,207,89.516721
-16.08,196,89.675751
-15.9,205,89.826604
60.94,447,90.209642
-15.98,201,90.384657
-16.0,200,90.536466
-15.94,203,90.719669
-15.88,206,91.243075
-2.5,275,91.461101
-16.0,200,91.661875
10.0,300,91.887483
-15.84,208,92.044517
-2.88,256,92.238536
22.9,345,92.529603
-16.0,200,92.683623
-16.08,196,92.841423
74.42,521,128.81142
-15.96,202,128.954432
-15.96,202,129.094446
-16.02,199,129.230955
-15.94,203,129.382
9.26,263,129.584582
-15.9,205,129.743535
-16.06,197,129.894547
-15.88,206,130.044586
-15.66,217,130.226605
-16.18,191,130.398194
-16.02,199,130.544702
-15.96,202,130.693727
-15.96,202,131.173826
-16.0,200,131.362841
-15.88,206,131.526863
-15.96,202,131.689655
-15.82,209,131.890033
-15.96,202,132.051046
-16.0,200,168.207413
-15.84,208,168.383924
-15.98,201,168.547836
-2.62,269,168.815018
24.82,441,169.23579
-15.86,207,169.426385
-16.08,196,169.566408
-16.0,200,169.737712
-15.98,201,169.921665
-16.0,200,170.081175
-15.96,202,170.253132
9.52,276,170.591289
-15.86,207,170.810844
-15.92,204,171.010506
-15.98,201,171.172704
-15.96,202,171.35772
-16.02,199,171.82786
-16.2,190,172.039414
-15.78,211,172.242436
10.94,347,206.644627
-16.08,196,207.015059
-15.94,203,207.353451
-2.72,264,207.811
-15.86,207,208.177174
-15.94,203,208.54072
-3.86,207,208.910046
-16.02,199,209.234442
-15.96,202,209.579266
-3.84,208,209.931254
-15.9,205,210.265363
-16.02,199,210.613277
-2.82,259,211.062537
-15.94,203,211.398727
-15.9,205,211.763545
-15.72,214,212.149876
-16.06,197,212.4984
-15.9,205,212.879389
-16.16,192,213.247491
23.42,371,258.936831
9.92,296,261.0381
-3.84,208,261.409764
-15.88,206,261.772477
-2.06,297,262.271005
9.84,292,262.747068
-15.84,208,263.087379
-15.9,205,263.422041
-15.86,207,263.761731
-2.56,272,264.222371
-15.88,206,264.583794
-15.88,206,264.938554
-15.98,201,265.290754
-15.98,201,265.648629
11.42,371,266.165901
-16.08,196,266.410286
-15.88,206,309.624561
-2.62,269,309.887378
-2.94,253,310.096216
-16.08,196,310.24395
-16.12,194,310.422227
9.54,277,310.668624
-16.02,199,311.670214
-16.04,198,311.8974
-15.82,209,312.099546
11.14,357,312.474578
-15.94,203,312.68036
-15.82,209,312.864333
-16.04,198,313.064423
-15.96,202,313.281533
-16.06,197,313.471957
-2.58,271,313.735923
-15.92,204,313.918321
-16.06,197,314.113991
-15.96,202,314.292005
-15.76,212,349.634192
-16.0,200,349.803704
-3.86,207,349.984059
-15.74,213,350.161074
-2.8,260,350.362097
-15.94,203,350.530112
-15.78,211,350.706151
-2.8,260,350.93167
-16.0,200,351.137683
49.36,468,352.44729
-16.2,190,352.593818
-16.08,196,352.741834
-3.62,219,352.895032
-15.8,210,353.082696
10.76,338,353.36899
23.04,352,353.681604
37.48,474,385.355307
-15.92,204,385.544329
-16.04,198,385.731769
-3.82,209,385.934804
-16.02,199,386.084914
-15.9,205,386.246963
-16.02,199,386.384481
-15.82,209,386.532495
-16.02,199,386.671001
36.38,419,386.991811
-3.76,212,387.170874
-16.0,200,387.316308
-16.06,197,387.481892
-16.04,198,387.624919
-15.96,202,390.483515
23.2,360,390.787044
-15.98,201,390.971159
35.28,364,422.66413
-15.9,205,422.808376
-15.9,205,422.958036
74.82,541,423.382162
-3.88,206,423.549285
-16.04,198,423.689998
23.0,350,423.93856
-15.96,202,424.109783
-16.02,199,424.284814
-15.82,209,424.467726
-15.8,210,424.642851
-15.98,201,424.828484
23.16,358,425.170968
50.6,530,425.613518
36.24,412,458.870204
-15.94,203,459.026425
-16.1,195,459.164932
-15.92,204,459.33195
