#{"t_start": 1764699795.7584963, "env_id": "None"}
r,l,t
-15.88,206,1.316376
-16.02,199,1.482144
-15.92,204,1.648721
-15.92,204,1.851444
-16.04,198,2.022466
-15.98,201,2.179978
-15.96,202,2.387648
-15.98,201,2.577011
-15.92,204,2.73504
-16.04,198,2.89755
-15.94,203,3.084645
-15.98,201,3.264733
9.78,289,3.577841
-16.04,198,3.764954
-16.0,200,3.931975
-15.92,204,4.110059
-15.96,202,4.285572
-15.94,203,4.447595
-15.98,201,4.647147
-3.82,209,49.837723
-3.76,212,50.219376
-16.02,199,50.600242
-15.84,208,50.968296
49.08,454,52.528628
-15.98,201,52.954053
-16.02,199,53.312945
-15.86,207,53.668565
-15.88,206,54.063361
-15.92,204,54.428302
-16.0,200,54.766899
-15.84,208,55.063011
-15.98,201,55.294027
-15.84,208,55.509131
11.12,356,55.913362
-15.86,207,56.099385
10.62,331,56.416759
-15.94,203,56.601779
-16.02,199,89.494717
9.96,298,89.726094
-15.88,206,89.895106
49.14,457,90.287154
-2.4,280,90.504464
-15.96,202,90.683665
-15.94,203,90.871684
-15.98,201,91.366096
-16.0,200,91.549616
-2.8,260,91.767972
-3.8,210,91.934482
-15.8,210,92.086025
-16.04,198,92.235532
-15.92,204,92.421564
-3.82,209,92.582108
-15.92,204,92.73991
-16.06,197,92.897926
-15.84,208,93.051436
-15.96,202,128.781742
-16.02,199,128.922427
-15.94,203,129.064939
-2.64,268,129.249462
-15.78,211,129.4145
23.02,351,129.677086
-16.0,200,129.839036
-16.02,199,129.976557
-15.9,205,130.146094
-15.88,206,130.331678
-2.78,261,130.527698
-15.96,202,130.677211
-16.04,198,131.154822
-15.9,205,131.344837
-15.92,204,131.509856
37.12,456,131.906534
-15.96,202,132.074043
-16.0,200,168.226413
9.38,269,168.44932
-16.02,199,168.62435
-15.9,205,168.838735
23.46,373,169.196778
-3.82,209,169.390801
-15.96,202,169.535901
-16.0,200,169.704708
-2.72,264,169.935661
-15.98,201,170.098454
-16.08,196,170.272126
25.14,457,170.802835
-15.94,203,171.001502
-16.04,198,171.1627
-15.62,219,171.358717
-15.78,211,171.841366
-16.04,198,172.06241
-3.94,203,172.252432
-2.44,278,206.551135
-16.04,198,206.94225
-15.84,208,207.285418
-16.02,199,207.627697
-15.92,204,207.986348
-2.02,299,208.520716
-15.94,203,208.884043
-15.96,202,209.213934
-15.78,211,209.573262
-15.78,211,209.931249
-2.78,261,210.359525
-16.0,200,210.719305
-16.0,200,211.057534
35.58,379,211.709396
-15.96,202,212.071585
-16.0,200,212.424401
-16.16,192,212.785941
-15.92,204,213.17698
23.4,370,258.864848
-15.94,203,260.796173
-15.98,201,261.145356
-2.62,269,261.636621
10.04,302,262.146979
-15.96,202,262.476757
-15.92,204,262.81325
-15.88,206,263.149805
-15.96,202,263.477554
-15.9,205,263.816726
23.22,361,264.436724
-2.7,265,264.895921
-16.04,198,265.24024
-15.8,210,265.614498
9.38,269,266.033817
-16.06,197,266.235271
50.26,513,309.800306
-15.9,205,309.983018
-15.88,206,310.147781
-3.72,214,310.335145
21.78,289,310.603417
50.26,513,311.929128
-15.96,202,312.107557
-15.82,209,312.29781
-15.9,205,312.554435
-15.98,201,312.735716
-2.84,258,312.985366
-15.72,214,313.208512
10.46,323,313.535462
22.74,337,313.84081
-2.84,258,314.098978
35.46,373,349.58968
-15.94,203,349.752704
-3.94,203,349.926055
-15.64,218,350.11507
-15.94,203,350.268584
-15.62,219,350.4496
62.16,508,350.883161
10.0,300,351.163678
-3.68,216,351.329692
48.72,436,352.619324
-15.78,211,352.77383
-16.04,198,352.914183
-16.04,198,353.096197
-15.9,205,353.265478
-3.9,205,353.440494
48.12,406,353.799571
-3.92,204,385.244796
49.42,471,385.677249
-1.98,301,385.962404
-15.84,208,386.115447
-15.94,203,386.27296
-16.06,197,386.40948
-15.96,202,386.55249
-16.0,200,386.693513
-15.9,205,386.850555
-16.06,197,387.000813
-16.1,195,387.167871
-15.96,202,387.314813
-2.02,299,387.554403
11.4,370,390.553018
-3.66,217,390.73504
-15.92,204,390.919645
-15.86,207,391.096666
-15.92,204,422.648126
-2.66,267,422.836879
37.12,456,423.180132
35.3,365,423.480673
10.78,339,423.722008
-15.88,206,423.871048
-15.96,202,424.01556
9.28,264,424.262808
22.98,349,424.560333
-15.88,206,424.755477
-3.86,207,424.9275
-15.86,207,425.128275
-15.96,202,425.29999
-16.1,195,425.458011
9.48,274,425.702029
10.14,307,458.868011
11.12,356,459.132928
-15.74,213,459.295441
9.54,277,459.54248
23.1,355,459.832566
-16.02,199,459.986081
-15.88,206,460.169619
22.18,309,460.448178
-3.8,210,460.610198
23.42,371,460.905245
-15.9,205,461.136833
-15.94,203,461.308356
-3.8,210,461.463865
-16.08,196,461.625424
35.0,350,461.890018
-15.76,212,462.067538
-15.9,205,493.778275
-16.14,193,493.918783
-2.92,254,494.120709
61.52,476,512.692194
23.12,356,513.008228
-15.9,205,513.179469
48.66,433,513.58003
-15.86,207,513.791623
-15.96,202,513.964638
-15.92,204,514.151099
-16.04,198,514.339621
9.68,284,514.579686
-16.04,198,514.755695
74.62,531,515.186027
9.44,272,515.402634
23.36,368,546.951503
152.68,834,547.60676
207.02,1151,566.820044
49.42,471,567.200646
-2.94,253,567.436189
-3.82,209,567.630202
62.5,525,568.159732
-15.86,207,568.316248
-16.1,195,600.625516
51.34,567,601.106712
112.78,639,601.642891
87.7,585,602.105123
89.56,678,602.662819
-15.82,209,620.820895
35.4,370,621.11743
-3.9,205,621.27801
-16.0,200,621.444586
22.98,349,621.734114
152.04,802,654.450312
309.72,1486,655.783122
101.66,683,656.323208
23.06,353,656.603002
-2.58,271,656.833521
49.54,477,675.03105
243.5,1175,707.666536
115.7,785,708.344613
49.7,485,708.759281
348.34,1617,710.204623
63.08,554,744.701771
-3.92,204,763.573257
10.02,301,763.809789
23.42,371,764.13695
-2.6,270,764.389478
152.52,826,765.067528
50.36,518,765.593616
35.48,374,765.957419
88.62,631,766.58605
49.38,469,799.376773
90.06,703,799.953606
388.72,1836,819.88277
221.08,1254,821.010522
23.28,364,853.50545
153.88,894,854.283785
9.66,283,854.511492
-15.98,201,854.684341
11.76,388,855.044487
49.16,458,873.412031
126.86,743,874.096355
-16.04,198,874.264871
360.82,1641,908.396282
62.48,524,908.896909
438.64,1932,929.392968
-16.0,200,929.575028
23.0,350,929.877505
153.94,897,963.335493
74.3,515,963.817116
281.72,1286,964.971938
23.62,381,965.305999
23.26,363,965.651649
659.56,2778,1019.35576
10.04,302,1019.613777
296.12,1406,1020.903834
258.68,1334,1072.252651
-15.86,207,1072.454328
424.94,1847,1074.247583
581.22,2461,1108.968195
219.36,1168,1128.316787
102.02,701,1129.063897
101.16,658,1129.734967
35.36,368,1162.976291
-3.68,216,1163.167868
9.92,296,1163.41896
310.88,1544,1164.774809
100.64,632,1183.500435
206.08,1104,1184.566083
-2.38,281,1216.916557
23.66,383,1217.327136
47.6,380,1217.680238
284.76,1438,1219.09306
100.32,616,1219.667591
262.14,1507,1271.120869
-15.84,208,1271.28287
35.04,352,1271.61487
132.14,1007,1272.445871
-15.86,207,1272.63487
10.94,347,1272.973871
10.06,303,1273.299869
-16.08,196,1273.469872
50.48,524,1273.868873
103.46,773,1305.76105
76.76,638,1327.506642
9.94,297,1327.742729
-15.92,204,1327.920752
9.56,278,1328.180871
104.16,808,1328.851593
90.32,716,1329.404818
-2.7,265,1329.59484
-15.96,202,1329.769348
62.38,519,1363.155978
-2.28,286,1363.380978
23.32,366,1363.694978
88.48,624,1383.690699
114.46,723,1384.239862
34.7,335,1384.572724
-3.94,203,1384.789608
-2.48,276,1385.046633
-2.02,299,1385.300481
144.32,1016,1415.407622
10.88,344,1415.674638
-3.76,212,1415.856492
11.28,364,1416.116626
-15.82,209,1416.278132
50.38,519,1416.674559
63.94,597,1433.605329
9.9,295,1433.85094
63.72,586,1434.369799
49.72,486,1434.773534
-15.9,205,1434.913545
9.92,296,1463.946444
22.68,334,1464.20299
285.06,1453,1465.273928
-3.94,203,1465.413436
-3.72,214,1465.590973
36.74,437,1465.942657
-16.14,193,1466.078164
76.18,609,1483.427222
-15.9,205,1483.582368
103.02,751,1513.02843
-15.74,213,1513.203972
-16.04,198,1513.377988
9.36,268,1513.590005
-2.42,279,1513.814747
-2.64,268,1514.011278
-2.6,270,1514.209299
50.4,520,1514.649374
-16.12,194,1514.840384
23.14,357,1515.093408
-15.84,208,1515.268991
35.54,377,1515.556686
-16.04,198,1515.697199
-3.88,206,1515.872613
50.24,512,1545.405089
-15.9,205,1545.548597
9.66,283,1545.759116
-2.68,266,1545.96165
