#{"t_start": 1764699795.7524958, "env_id": "None"}
r,l,t
-15.96,202,1.318377
-15.96,202,1.487145
-16.0,200,1.650723
-3.82,209,1.857445
-15.92,204,2.032467
-15.88,206,2.195483
-16.06,197,2.399647
-15.86,207,2.595012
-16.0,200,2.746041
-15.72,214,2.926056
-16.0,200,3.106647
-15.96,202,3.296732
-15.9,205,3.517844
-3.92,204,3.709355
-15.92,204,3.899464
-16.0,200,4.072556
-3.78,211,4.256573
-15.94,203,4.412089
49.02,451,49.834211
-16.08,196,50.177372
-16.02,199,50.566093
-16.02,199,50.921777
-16.02,199,51.255249
-15.98,201,52.358478
-16.04,198,52.792173
10.0,300,53.342455
-15.88,206,53.693558
-15.92,204,54.089364
-15.9,205,54.456813
-15.94,203,54.8009
-15.96,202,55.076011
-15.88,206,55.315027
-15.92,204,55.523133
-16.02,199,55.75419
-16.04,198,55.961876
-15.94,203,56.154748
-2.84,258,56.395756
-15.8,210,56.584775
-15.94,203,89.489719
9.22,261,89.694061
88.14,607,90.196639
-15.88,206,90.375653
-15.9,205,90.529463
37.3,465,91.281578
-16.0,200,91.442096
-15.98,201,91.632869
-15.94,203,91.789973
-16.02,199,91.949984
-15.82,209,92.102025
-16.04,198,92.257537
-15.74,213,92.445565
-15.88,206,92.605108
-15.94,203,92.766419
-15.98,201,92.925925
-15.92,204,128.640718
-16.02,199,128.798414
-15.92,204,128.942427
-15.94,203,129.083938
50.18,509,129.45651
-15.88,206,129.610086
-15.96,202,129.766531
-15.9,205,129.922545
-2.68,266,130.133095
-15.92,204,130.313676
-16.08,196,130.462193
9.4,270,130.664205
-15.98,201,131.145824
-16.04,198,131.319851
-15.98,201,131.480349
-15.9,205,131.655651
-3.9,205,131.835027
-15.82,209,132.015041
-15.94,203,132.181553
-15.88,206,168.34092
-15.98,201,168.508836
-15.82,209,168.717925
-15.98,201,168.903247
-15.94,203,169.119273
-15.76,212,169.293789
-15.9,205,169.478381
-16.08,196,169.621195
-15.94,203,169.824224
-16.06,197,169.981663
-2.72,264,170.20006
9.96,298,170.544286
9.9,295,170.858837
35.38,369,171.185701
-16.1,195,171.358718
-2.0,300,171.943898
-2.72,264,172.212433
-2.3,285,206.45803
-15.94,203,206.865219
-15.92,204,207.209899
-15.88,206,207.561601
-3.84,208,207.924348
-15.82,209,208.302681
10.06,303,208.841042
38.48,524,209.726864
-15.94,203,210.060379
-15.96,202,210.393526
36.32,416,211.116537
-15.92,204,211.469019
-15.96,202,211.818543
-15.88,206,212.191071
-15.96,202,212.552908
35.52,376,213.259488
-16.0,200,258.650151
-15.96,202,259.000337
-2.92,254,261.031096
-3.78,211,261.40976
-15.64,218,261.790473
11.1,355,262.384229
-16.12,194,262.698062
-16.1,195,263.020214
-2.76,262,263.44604
-16.0,200,263.774727
-15.96,202,264.120233
-15.8,210,264.483763
-16.0,200,264.828789
-15.84,208,265.189237
-16.08,196,265.539462
-15.74,213,265.903306
-2.02,299,266.241271
102.24,712,309.984517
-16.06,197,310.143275
-15.86,207,310.319111
-15.96,202,310.501803
9.42,271,310.717676
-2.88,256,311.828322
23.22,361,312.167109
-3.88,206,312.396401
-15.94,203,312.630828
-15.78,211,312.805271
-16.12,194,312.995366
-16.04,198,313.199511
-15.94,203,313.407953
-15.92,204,313.60397
-16.12,194,313.787808
-15.88,206,313.993829
-15.9,205,314.170981
-16.02,199,349.529677
-15.94,203,349.673188
23.28,364,349.995057
-15.98,201,350.163073
-15.6,220,350.330093
49.6,480,350.734652
-15.82,209,350.91167
-2.68,266,351.168679
