#{"t_start": 1764699563.0164933, "env_id": "None"}
r,l,t
6.54,327,3.805721
3.74,187,3.964736
5.38,269,4.238927
5.56,278,4.556655
3.86,193,4.74525
5.5,275,4.971534
5.44,272,5.207556
5.46,273,5.445459
4.46,223,5.628053
4.5,225,5.818445
4.54,227,6.007623
3.76,188,6.146641
5.46,273,6.394659
5.36,268,6.618789
3.8,190,6.796817
4.44,222,7.003832
5.62,281,44.531221
6.38,319,44.859334
3.78,189,45.007354
5.38,269,45.221378
5.4,270,45.953788
5.34,267,46.195413
5.36,268,46.428621
4.54,227,46.647638
3.76,188,46.804373
5.4,270,47.051043
5.44,272,47.308702
5.4,270,47.506752
5.44,272,47.761472
4.48,224,47.970179
5.64,282,48.185192
4.48,224,48.35437
4.58,229,81.584013
4.44,222,81.769137
5.4,270,82.041661
3.74,187,82.188684
6.32,316,82.436253
5.42,271,82.692801
4.48,224,82.863316
4.48,224,83.070161
5.34,267,83.795751
5.54,277,84.000492
4.42,221,84.162519
5.54,277,84.380049
5.44,272,84.604081
5.42,271,84.828663
4.46,223,84.996681
4.5,225,85.176191
4.44,222,85.347212
