#{"t_start": 1764699563.015494, "env_id": "None"}
r,l,t
5.38,269,3.76172
5.44,272,3.987735
4.48,224,4.224416
3.78,189,4.408631
5.4,270,4.719163
6.44,322,4.984534
3.76,188,5.147555
5.4,270,5.395762
4.48,224,5.570049
5.46,273,5.792444
5.46,273,6.028622
5.52,276,6.240642
5.34,267,6.499283
5.38,269,6.716297
5.5,275,6.967833
4.42,221,7.175602
4.46,223,44.652732
5.4,270,44.921839
5.42,271,45.148864
4.46,223,45.821456
4.6,230,46.044396
4.42,221,46.227412
5.54,277,46.472128
5.44,272,46.717145
6.26,313,47.002386
4.5,225,47.219195
5.44,272,47.438232
5.52,276,47.680472
4.6,230,47.897671
3.78,189,48.051181
5.46,273,48.256198
4.5,225,48.417873
5.56,278,81.702089
5.44,272,81.96115
5.4,270,82.191683
3.8,190,82.338194
4.5,225,82.524773
3.72,186,82.704804
5.44,272,82.932647
5.5,275,83.665735
4.5,225,83.844747
4.54,227,84.018497
5.64,282,84.235033
4.52,226,84.403049
5.52,276,84.632596
4.46,223,84.817662
4.5,225,84.990679
4.64,232,85.173189
5.5,275,85.389293
