#{"t_start": 1764699563.0099084, "env_id": "None"}
r,l,t
5.5,275,3.772307
5.5,275,4.001322
5.4,270,4.290706
4.54,227,4.527725
5.56,278,4.822835
6.4,320,5.071634
4.42,221,5.26765
5.34,267,5.496044
4.46,223,5.695523
5.36,268,5.9137
5.42,271,6.123714
5.46,273,6.361244
5.5,275,6.601374
4.54,227,6.806402
5.42,271,7.071932
4.52,226,44.534806
5.34,267,44.795915
5.44,272,45.042939
5.44,272,45.247523
3.72,186,45.902371
5.52,276,46.164496
5.5,275,46.405207
5.46,273,46.662225
5.34,267,46.890467
4.54,227,47.092273
6.24,312,47.384818
4.48,224,47.547038
5.4,270,47.810744
4.5,225,48.010766
5.44,272,48.211778
5.42,271,48.412459
5.38,269,81.688674
6.38,319,81.982739
5.38,269,82.210269
6.3,315,82.457838
5.38,269,82.71339
4.52,226,82.89423
5.42,271,83.142267
3.72,186,83.794336
5.4,270,83.982572
5.36,268,84.187622
3.74,187,84.330126
4.52,226,84.519151
5.36,268,84.735198
5.38,269,84.950754
4.48,224,85.124773
3.76,188,85.271283
