#{"t_start": 1764699563.0079086, "env_id": "None"}
r,l,t
5.42,271,3.771306
3.76,188,3.934813
4.44,222,4.133828
4.62,231,4.381217
4.62,231,4.65275
4.5,225,4.856345
4.58,229,5.028119
5.38,269,5.268649
5.38,269,5.499044
5.34,267,5.728523
3.8,190,5.893701
5.42,271,6.104714
4.5,225,6.288732
5.38,269,6.535867
5.6,280,6.768402
4.5,225,6.975418
5.46,273,44.510808
5.38,269,44.761826
5.46,273,45.013938
4.46,223,45.195959
5.48,274,45.916369
4.46,223,46.12649
5.4,270,46.360701
5.5,275,46.626223
5.4,270,46.851958
4.44,222,47.056629
6.48,324,47.35329
5.4,270,47.56004
4.48,224,47.769058
6.32,316,48.052764
5.42,271,48.255777
4.5,225,48.419459
4.5,225,81.65616
5.42,271,81.906735
5.4,270,82.14976
5.44,272,82.36378
3.74,187,82.518854
4.46,223,82.726389
5.42,271,82.954234
4.52,226,83.647318
4.52,226,83.831335
4.54,227,84.000077
4.48,224,84.168105
5.46,273,84.380129
5.44,272,84.607661
5.38,269,84.826248
5.46,273,85.034262
4.5,225,85.213281
5.38,269,85.42088
