#{"t_start": 1764699563.0124936, "env_id": "None"}
r,l,t
3.82,191,3.683604
3.72,186,3.846228
5.44,272,4.099243
4.48,224,4.340122
3.72,186,4.555657
4.5,225,4.78025
4.54,227,4.962534
4.58,229,5.155555
6.6,330,5.446457
5.44,272,5.676327
4.54,227,5.871463
5.4,270,6.079129
3.74,187,6.22664
5.52,276,6.480282
5.34,267,6.707301
5.4,270,6.953832
4.46,223,7.160851
5.44,272,44.691239
6.46,323,44.994353
4.5,225,45.178375
4.5,225,45.851459
6.44,322,46.153907
6.42,321,46.429621
3.82,191,46.620638
5.42,271,46.847373
4.5,225,47.054044
5.38,269,47.308702
5.42,271,47.508751
5.4,270,47.759472
4.48,224,47.970179
5.38,269,48.169192
5.4,270,48.377874
6.42,321,81.690089
4.5,225,81.899152
4.48,224,82.111176
5.42,271,82.310193
4.56,228,82.507764
4.44,222,82.713805
4.66,233,82.905645
5.34,267,83.631733
3.74,187,83.796751
5.4,270,83.989492
5.44,272,84.194037
5.5,275,84.41005
4.44,222,84.598073
4.48,224,84.770623
5.44,272,84.993679
4.46,223,85.165188
5.38,269,85.380285
