#{"t_start": 1764699563.019495, "env_id": "None"}
r,l,t
5.4,270,3.758719
5.44,272,3.984734
3.72,186,4.17241
5.46,273,4.464139
3.72,186,4.683165
5.52,276,4.921369
3.74,187,5.067047
3.74,187,5.231559
6.38,319,5.502542
3.8,190,5.674831
4.5,225,5.866461
5.54,277,6.082128
3.84,192,6.229641
5.3,265,6.477281
4.52,226,6.666296
3.72,186,6.834818
5.5,275,7.103337
5.5,275,44.621732
6.32,316,44.923836
4.52,226,45.117861
5.44,272,45.826454
3.72,186,46.007395
3.74,187,46.166411
5.34,267,46.401619
5.62,281,46.663143
5.46,273,46.895879
4.46,223,47.101686
5.42,271,47.357709
5.42,271,47.562958
6.44,322,47.873671
5.42,271,48.086684
5.38,269,48.289363
5.44,272,48.49738
5.46,273,81.783641
5.4,270,82.05266
4.52,226,82.220682
4.46,223,82.404252
4.52,226,82.59529
3.8,190,82.768803
3.76,188,82.932643
4.48,224,83.13368
4.5,225,83.809746
4.54,227,83.968986
6.24,312,84.220032
5.38,269,84.420048
4.46,223,84.611079
5.48,274,84.837661
5.44,272,85.048676
5.38,269,85.250694
4.42,221,85.425292
