#{"t_start": 1764699563.0124936, "env_id": "None"}
r,l,t
4.54,227,3.730606
5.5,275,3.960736
5.56,278,4.240927
5.42,271,4.539146
5.44,272,4.81825
5.4,270,5.020535
4.58,229,5.227556
5.46,273,5.467459
4.56,228,5.662566
6.36,318,5.923119
5.34,267,6.130129
4.48,224,6.331147
4.48,224,6.530282
5.36,268,6.747818
4.6,230,6.965833
5.38,269,44.49722
4.56,228,44.71524
5.34,267,44.966349
3.74,187,45.121862
3.86,193,45.263605
5.54,277,46.024396
4.46,223,46.214413
4.5,225,46.41062
5.5,275,46.667142
4.54,227,46.860374
5.38,269,47.103687
5.36,268,47.354711
5.5,275,47.566456
5.4,270,47.830158
6.34,317,48.087685
3.74,187,48.227192
5.44,272,48.428874
5.36,268,81.70609
5.48,274,81.966151
5.38,269,82.195684
3.74,187,82.340194
4.44,222,82.524776
4.46,223,82.730802
5.6,280,82.975651
4.54,227,83.662733
5.62,281,83.888985
6.4,320,84.120519
4.42,221,84.292541
5.36,268,84.510566
5.34,267,84.721613
4.54,227,84.90817
3.72,186,85.060677
4.48,224,85.230695
4.46,223,85.405293
