#{"t_start": 1764699563.0104911, "env_id": "None"}
r,l,t
4.52,226,3.730609
4.52,226,3.92323
5.42,271,4.173877
4.5,225,4.406636
5.52,276,4.724166
5.4,270,4.952537
4.44,222,5.139054
4.44,222,5.332255
4.52,226,5.517543
3.86,193,5.69494
4.58,229,5.887119
5.38,269,6.096132
5.5,275,6.33215
5.54,277,6.567792
5.38,269,6.813819
4.44,222,7.018834
5.54,277,44.540224
5.5,275,44.815332
6.4,320,45.098867
5.44,272,45.80146
4.48,224,46.015399
4.44,222,46.205415
6.3,315,46.481129
3.8,190,46.665643
5.4,270,46.895882
4.48,224,47.09769
4.48,224,47.315705
3.78,189,47.458237
5.4,270,47.695475
5.42,271,47.951675
3.9,195,48.097687
4.46,223,48.2682
5.48,274,48.471384
5.4,270,81.751115
3.72,186,81.931152
5.38,269,82.166178
6.52,326,82.427255
4.52,226,82.626294
3.78,189,82.788311
3.8,190,82.959647
4.64,232,83.656735
5.34,267,83.870979
5.46,273,84.072015
3.88,194,84.226036
5.36,268,84.425052
5.32,266,84.64611
5.4,270,84.870667
5.46,273,85.084188
5.42,271,85.286217
