#{"t_start": 1764699563.0184946, "env_id": "None"}
r,l,t
5.42,271,3.76072
5.54,277,3.990734
5.44,272,4.28212
4.5,225,4.517139
6.34,317,4.839755
4.46,223,5.009534
5.34,267,5.249063
5.44,272,5.481459
4.52,226,5.680831
4.48,224,5.869462
3.72,186,6.016621
5.5,275,6.226641
6.3,315,6.520281
6.46,323,6.801816
5.52,276,7.069341
5.44,272,44.565728
7.46,373,44.932837
4.44,222,45.124861
4.48,224,45.791455
5.36,268,46.049398
5.42,271,46.26943
5.38,269,46.526126
4.46,223,46.716144
6.38,319,47.009388
3.74,187,47.192194
4.44,222,47.380232
4.46,223,47.543454
5.42,271,47.808157
5.54,277,48.043178
3.84,192,48.187192
4.48,224,48.35537
5.42,271,81.619574
5.5,275,81.872644
4.44,222,82.080175
5.34,267,82.275188
5.4,270,82.510268
5.34,267,82.7528
4.5,225,82.944645
5.44,272,83.672734
5.38,269,83.888984
4.48,224,84.055009
4.48,224,84.230032
4.5,225,84.398048
4.48,224,84.586072
3.72,186,84.735616
4.48,224,84.912168
5.38,269,85.122187
5.46,273,85.33721
