#{"t_start": 1764699563.0114949, "env_id": "None"}
r,l,t
5.42,271,3.767719
5.4,270,3.991735
4.56,228,4.231415
3.74,187,4.41563
5.44,272,4.729164
4.54,227,4.918769
5.46,273,5.14705
5.5,275,5.398761
5.64,282,5.617049
4.56,228,5.811444
4.58,229,6.003622
5.56,278,6.222639
6.34,317,6.518281
6.3,315,6.782815
3.74,187,6.954831
5.5,275,44.49122
4.44,222,44.695237
4.54,227,44.917837
3.74,187,45.08286
3.76,188,45.219374
5.38,269,45.943785
4.48,224,46.156906
5.4,270,46.389621
3.72,186,46.572637
5.44,272,46.798371
5.44,272,47.05104
5.4,270,47.305706
5.42,271,47.50575
4.5,225,47.725468
5.38,269,47.967673
5.4,270,48.164687
3.76,188,48.31936
5.4,270,81.576506
3.72,186,81.732088
5.42,271,81.986659
6.48,324,82.251683
4.52,226,82.438251
5.36,268,82.6918
5.5,275,82.918644
5.4,270,83.649732
5.42,271,83.865748
3.72,186,84.007491
5.52,276,84.216032
4.5,225,84.388048
5.38,269,84.61008
4.48,224,84.79013
5.44,272,85.00368
5.5,275,85.220694
4.56,228,85.399292
