#{"t_start": 1764699563.017494, "env_id": "None"}
r,l,t
5.6,280,3.76872
4.5,225,3.957735
5.4,270,4.230417
5.46,273,4.528145
3.74,187,4.729164
3.72,186,4.886759
5.46,273,5.108048
5.36,268,5.34776
4.68,234,5.535545
5.54,277,5.770445
5.38,269,5.997623
5.44,272,6.21064
5.48,274,6.466281
5.38,269,6.694301
5.52,276,6.944832
5.56,278,44.483217
5.44,272,44.737238
4.5,225,44.953844
4.5,225,45.137862
5.36,268,45.842459
4.48,224,46.061901
5.38,269,46.281111
4.52,226,46.492126
5.48,274,46.733144
5.44,272,46.981387
3.72,186,47.164195
4.44,222,47.363234
6.38,319,47.620963
5.5,275,47.882672
4.46,223,48.059181
5.38,269,48.262702
4.44,222,48.422873
6.3,315,81.739093
4.44,222,81.955149
5.44,272,82.188684
5.52,276,82.407253
5.36,268,82.649291
3.74,187,82.798309
5.42,271,83.039158
4.48,224,83.731239
3.76,188,83.876982
4.44,222,84.041505
4.44,222,84.212033
4.48,224,84.383049
5.4,270,84.606077
5.52,276,84.835661
4.46,223,85.00168
5.38,269,85.213695
5.46,273,85.424294
