#{"t_start": 1764699563.0134935, "env_id": "None"}
r,l,t
4.6,230,3.733606
3.88,194,3.894229
5.48,274,4.142249
4.48,224,4.382631
6.3,315,4.735166
5.64,282,4.967535
6.36,318,5.23756
5.46,273,5.476459
4.46,223,5.668067
4.56,228,5.864957
5.38,269,6.072129
5.44,272,6.300147
4.52,226,6.509286
5.44,272,6.728297
4.54,227,6.944328
5.5,275,44.480127
3.76,188,44.643731
5.44,272,44.914839
5.44,272,45.142862
4.48,224,45.811456
4.48,224,46.032397
4.56,228,46.221413
5.36,268,46.451625
5.52,276,46.709145
5.4,270,46.94788
5.5,275,47.214208
5.42,271,47.434233
4.44,222,47.623963
3.84,192,47.802158
5.44,272,48.03918
5.4,270,48.236192
4.44,222,48.402874
4.5,225,81.637575
6.5,325,81.939151
5.4,270,82.175179
5.42,271,82.384254
5.34,267,82.618291
4.48,224,82.809309
3.76,188,82.987158
5.42,271,83.70424
5.38,269,83.916985
4.46,223,84.08352
4.48,224,84.255034
5.44,272,84.478055
3.72,186,84.625597
5.42,271,84.850666
4.5,225,85.016681
6.38,319,85.266699
