#{"t_start": 1764699563.008908, "env_id": "None"}
r,l,t
5.4,270,3.769306
5.48,274,3.997321
3.82,191,4.188996
5.48,274,4.485728
5.52,276,4.785838
5.36,268,4.99612
5.44,272,5.233141
5.38,269,5.470045
5.6,280,5.707524
6.38,319,5.971208
3.78,189,6.115715
5.46,273,6.352244
5.5,275,6.593374
5.42,271,6.834402
5.54,277,7.097925
5.48,274,44.615315
5.54,277,44.894423
5.38,269,45.120448
4.48,224,45.784041
6.34,317,46.08249
5.42,271,46.300699
5.36,268,46.562715
6.32,316,46.834962
4.52,226,47.04663
3.8,190,47.227781
4.58,229,47.416818
5.32,266,47.639546
3.88,194,47.824744
5.44,272,48.054764
6.32,316,48.288796
5.46,273,48.491967
5.46,273,81.775722
4.52,226,81.998247
5.34,267,82.22027
5.52,276,82.440838
5.38,269,82.696387
5.4,270,82.91723
3.86,193,83.084745
4.54,227,83.781828
4.48,224,83.93857
5.38,269,84.141106
4.4,220,84.30913
4.46,223,84.496152
4.52,226,84.670693
4.46,223,84.863247
5.42,271,85.076269
5.38,269,85.277288
