#{"t_start": 1764699563.0144937, "env_id": "None"}
r,l,t
4.58,229,3.730607
3.76,188,3.884229
3.8,190,4.045243
5.42,271,4.343627
3.72,186,4.562654
6.38,319,4.861759
4.46,223,5.030542
5.46,273,5.274064
6.42,321,5.541545
5.48,274,5.774445
5.42,271,6.004622
4.46,223,6.17064
5.46,273,6.425431
5.36,268,6.650298
5.46,273,6.903325
5.34,267,7.149845
5.64,282,44.685239
4.56,228,44.911838
4.5,225,45.104864
5.46,273,45.809456
4.58,229,46.035398
5.42,271,46.258417
5.36,268,46.501127
3.74,187,46.675145
5.38,269,46.904884
6.38,319,47.214196
5.36,268,47.431232
4.5,225,47.623963
6.36,318,47.921676
4.48,224,48.092685
4.46,223,48.264198
4.52,226,48.427874
4.52,226,81.66758
4.56,228,81.88315
5.42,271,82.128175
4.44,222,82.286193
5.52,276,82.525773
5.4,270,82.769804
5.48,274,83.011157
4.6,230,83.69824
4.5,225,83.880985
5.52,276,84.083519
5.42,271,84.288541
5.46,273,84.510566
3.72,186,84.657109
5.46,273,84.884169
5.46,273,85.098187
4.5,225,85.268699
