#{"t_start": 1764699563.0184946, "env_id": "None"}
r,l,t
4.52,226,3.722606
6.32,316,3.985734
5.44,272,4.272118
5.46,273,4.590654
4.54,227,4.803249
4.44,222,4.975533
4.56,228,5.172555
5.36,268,5.413267
5.36,268,5.629052
5.44,272,5.868462
3.74,187,6.015621
4.44,222,6.176639
3.74,187,6.352658
5.5,275,6.592788
5.42,271,6.833819
4.48,224,7.061344
5.42,271,44.555222
4.52,226,44.789329
4.52,226,44.991352
4.5,225,45.175373
5.42,271,45.884783
4.52,226,46.103904
5.42,271,46.333114
4.52,226,46.556129
5.34,267,46.783371
5.42,271,47.035044
4.5,225,47.240194
5.44,272,47.460236
4.52,226,47.665469
5.36,268,47.916675
5.44,272,48.119687
5.36,268,48.33036
4.62,231,48.503381
5.44,272,81.788643
5.38,269,82.056659
5.4,270,82.255683
5.5,275,82.489765
5.36,268,82.734801
5.42,271,82.968649
4.5,225,83.654732
5.58,279,83.878984
5.38,269,84.076519
3.76,188,84.226032
5.46,273,84.435048
4.58,229,84.623596
5.44,272,84.849661
4.56,228,85.017679
5.36,268,85.230695
4.52,226,85.407293
