#{"t_start": 1764699563.0144937, "env_id": "None"}
r,l,t
5.36,268,3.76172
5.42,271,3.986736
5.52,276,4.278119
5.36,268,4.590654
4.5,225,4.801252
5.42,271,5.008535
5.46,273,5.253064
3.84,192,5.425952
4.66,233,5.60705
5.48,274,5.854955
4.48,224,6.030624
5.42,271,6.238642
4.44,222,6.444631
4.54,227,6.632797
4.62,231,6.846325
5.44,272,7.11534
5.38,269,44.625733
5.62,281,44.902838
5.46,273,45.131862
5.56,278,45.844458
6.36,318,46.140904
5.44,272,46.37462
5.52,276,46.635638
4.48,224,46.825372
5.48,274,47.069057
5.4,270,47.326703
5.38,269,47.524448
5.42,271,47.788158
5.34,267,48.026179
3.78,189,48.155687
5.46,273,48.370874
5.36,268,81.634575
4.52,226,81.834642
4.52,226,82.061661
5.44,272,82.261684
5.4,270,82.490761
6.26,313,82.769804
4.46,223,82.96965
6.36,318,83.73624
5.5,275,83.938985
5.4,270,84.14352
4.6,230,84.316541
5.4,270,84.534566
5.38,269,84.755616
5.46,273,84.976172
3.78,189,85.122188
4.6,230,85.301212
